,date,schedule_id,ORIGIN_AIRPORT,DESTINATION_AIRPORT,DEPARTURE_TIME,ARRIVAL_TIME
1952,2023-01-1,126,IAD,PIT,8:21,9:24
1956,2023-01-1,127,BNA,IAH,8:18,10:53
2057,2023-01-1,128,DFW,BTR,8:29,9:58
2058,2023-01-1,129,RIC,MSP,8:25,10:35
2059,2023-01-1,130,ATL,MOB,8:25,8:28
2080,2023-01-1,131,LBB,DEN,8:36,9:28
2086,2023-01-1,132,CLT,EWR,8:27,10:23
2139,2023-01-1,133,EWR,CMH,8:26,10:20
2147,2023-01-1,134,CAE,ATL,8:33,9:42
2192,2023-01-1,135,EVV,DTW,8:33,10:52
2193,2023-01-1,136,DAY,ORD,8:35,8:43
2266,2023-01-1,137,ORD,PNS,8:41,10:57
2267,2023-01-1,138,AMA,DEN,8:41,9:13
2268,2023-01-1,139,DTW,MSY,8:45,10:29
2334,2023-01-1,140,ORD,PIT,9:42,11:54
2335,2023-01-1,141,GNV,ATL,8:44,10:09
2336,2023-01-1,142,TYS,DEN,8:40,10:28
2343,2023-01-1,143,DTW,BTV,8:58,10:20
2344,2023-01-1,144,DTW,TUL,9:08,10:34
2353,2023-01-1,145,CVG,IAH,8:52,10:56
2354,2023-01-1,146,IAH,BNA,8:47,10:36
2389,2023-01-1,147,BTR,ATL,8:56,11:15
2404,2023-01-1,148,DTW,BHM,8:51,9:57
2409,2023-01-1,149,ABQ,IAH,8:51,12:04
2494,2023-01-1,150,IAH,PNS,9:00,10:23
2495,2023-01-1,151,CLE,ORD,8:55,9:50
2497,2023-01-1,152,MSP,IAD,9:01,12:40
2498,2023-01-1,153,TUL,IAH,8:50,10:26
2499,2023-01-1,154,BHM,ATL,8:55,10:44
2500,2023-01-1,155,CRW,ATL,8:57,10:30
2501,2023-01-1,156,BTV,DTW,9:09,11:15
2502,2023-01-1,157,IAH,GJT,8:59,10:27
2520,2023-01-1,158,DTW,BUF,9:11,10:19
2524,2023-01-1,159,IAH,VPS,9:03,10:23
2525,2023-01-1,160,IAH,OMA,8:56,10:53
2527,2023-01-1,161,IAH,MFE,9:01,10:30
2528,2023-01-1,162,DTW,AVP,9:11,10:19
2531,2023-01-1,163,DTW,MDT,9:00,10:07
2535,2023-01-1,164,IAH,TUS,8:59,10:47
2574,2023-01-1,165,ELP,IAH,8:56,11:44
2575,2023-01-1,166,ATL,ROA,9:02,10:13
2579,2023-01-1,167,TYS,IAH,9:37,11:13
2585,2023-01-1,168,IAH,LFT,9:05,10:08
2586,2023-01-1,169,JAN,IAH,9:02,10:38
2587,2023-01-1,170,ATL,AGS,9:33,10:15
2588,2023-01-1,171,CLT,ORD,9:05,10:29
2592,2023-01-1,172,IAH,COS,9:02,10:20
2593,2023-01-1,173,IAH,ABQ,9:03,10:27
2594,2023-01-1,174,IAH,ELP,9:04,10:14
2596,2023-01-1,175,ATL,MGM,9:03,8:51
2640,2023-01-1,176,IAH,DAL,9:10,9:59
2641,2023-01-1,177,IAH,LRD,9:01,10:20
2642,2023-01-1,178,MSP,ROC,9:06,12:26
2654,2023-01-1,179,MOB,IAH,9:06,10:51
2660,2023-01-1,180,BTR,IAH,9:06,10:29
2661,2023-01-1,181,GPT,IAH,9:01,10:37
2662,2023-01-1,182,MFE,IAH,9:08,10:15
2710,2023-01-1,183,ATL,ECP,9:11,9:11
2711,2023-01-1,184,MOB,ATL,9:11,11:15
2724,2023-01-1,185,IAH,CRP,9:16,10:30
2730,2023-01-1,186,SDF,DEN,9:10,10:42
2769,2023-01-1,187,DFW,BPT,9:28,10:49
2770,2023-01-1,188,RIC,LGA,9:14,10:28
2771,2023-01-1,189,MSP,SDF,9:15,11:52
2828,2023-01-1,190,LGA,CLE,9:20,10:50
2841,2023-01-1,191,CLT,DTW,9:22,11:33
2842,2023-01-1,192,MGM,ATL,9:18,11:10
2904,2023-01-1,193,EWR,BNA,9:26,10:59
2922,2023-01-1,194,ATL,MSN,9:45,10:44
2965,2023-01-1,195,STL,EWR,9:25,12:33
2974,2023-01-1,196,BNA,ORD,9:31,11:04
2982,2023-01-1,197,JAX,IAD,9:39,11:26
3031,2023-01-1,198,ATL,IAD,9:39,11:22
3046,2023-01-1,199,ATL,HPN,9:41,11:47
3050,2023-01-1,200,DTW,EWR,9:51,11:12
3097,2023-01-1,201,BOS,CLE,9:37,11:48
3098,2023-01-1,202,BNA,EWR,9:40,12:35
3099,2023-01-1,203,ORD,GRB,9:46,10:40
3100,2023-01-1,204,ORD,ATW,9:36,10:24
3117,2023-01-1,205,OMA,IAH,9:46,12:25
3125,2023-01-1,206,IND,IAD,9:45,11:06
3129,2023-01-1,207,IAD,BDL,9:40,10:46
3178,2023-01-1,208,MSP,EWR,9:43,13:19
3179,2023-01-1,209,ATL,LEX,9:44,10:50
3180,2023-01-1,210,LGA,SAV,12:09,14:04
3200,2023-01-1,211,ATL,GSO,9:49,11:01
3205,2023-01-1,212,ATL,EVV,9:43,10:06
3207,2023-01-1,213,ATL,XNA,9:44,10:42
3253,2023-01-1,214,DEN,LNK,10:00,12:09
3254,2023-01-1,215,DEN,LFT,10:06,13:40
3255,2023-01-1,216,SDF,DTW,9:50,11:16
3256,2023-01-1,217,DEN,ISN,11:03,13:44
3267,2023-01-1,218,ATL,CAE,9:51,10:38
3268,2023-01-1,219,SYR,IAD,9:48,10:58
3279,2023-01-1,220,DEN,SDF,10:09,14:27
3291,2023-01-1,221,ECP,ATL,9:52,11:58
3351,2023-01-1,222,MCI,IAH,9:55,12:18
3352,2023-01-1,223,LGA,RIC,9:54,11:05
3354,2023-01-1,224,GRR,MSP,9:49,10:34
3355,2023-01-1,225,LGA,GSP,9:46,12:02
3356,2023-01-1,226,PHX,DEN,10:13,12:01
3384,2023-01-1,227,DEN,XNA,10:18,13:09
3385,2023-01-1,228,DEN,HSV,10:08,13:48
3434,2023-01-1,229,EWR,CLT,10:00,11:49
3435,2023-01-1,230,SBN,DTW,10:01,11:23
3436,2023-01-1,231,PIT,ORD,10:03,10:33
3450,2023-01-1,232,DEN,TUL,10:11,12:43
3455,2023-01-1,233,DEN,MSN,10:16,13:35
3508,2023-01-1,234,DFW,MOB,10:22,12:18
3510,2023-01-1,235,DFW,GGG,10:10,11:11
3511,2023-01-1,236,ORD,BUF,10:08,12:32
3512,2023-01-1,237,CLE,IAD,10:13,11:12
3513,2023-01-1,238,ORD,CMH,10:08,12:19
3514,2023-01-1,239,ORD,SBN,10:03,11:45
3530,2023-01-1,240,GSO,IAD,9:58,10:58
3533,2023-01-1,241,EWR,JAX,10:12,12:42
3535,2023-01-1,242,ATL,LFT,10:13,10:57
3588,2023-01-1,243,BTR,DFW,10:21,11:46
3590,2023-01-1,244,DAY,EWR,10:11,11:43
3591,2023-01-1,245,IAH,CLT,10:13,13:36
3592,2023-01-1,246,IAH,CMH,10:11,13:30
3594,2023-01-1,247,IAH,BTR,10:12,11:10
3607,2023-01-1,248,IAH,JAN,10:11,11:14
3621,2023-01-1,249,ROC,ORD,10:21,11:43
3622,2023-01-1,250,IAH,LIT,10:20,11:34
3626,2023-01-1,251,DCA,CLE,9:56,11:09
3627,2023-01-1,252,DEN,SHV,10:23,13:42
3676,2023-01-1,253,IAH,CVG,10:18,13:21
3677,2023-01-1,254,CLE,DTW,10:18,11:18
3678,2023-01-1,255,IAH,CHS,10:30,13:40
3694,2023-01-1,256,IAH,GSP,10:22,13:20
3695,2023-01-1,257,IAH,HSV,10:17,11:52
3696,2023-01-1,258,IAH,RDU,10:21,14:00
3699,2023-01-1,259,IAH,BNA,10:21,12:09
3700,2023-01-1,260,IAH,GPT,10:20,11:36
3728,2023-01-1,261,ATL,MYR,10:20,11:22
3729,2023-01-1,262,IAH,MSY,10:25,11:33
3730,2023-01-1,263,ORD,IND,10:19,12:09
3731,2023-01-1,264,ORD,MCI,10:19,11:49
3739,2023-01-1,265,ATL,GSP,10:21,11:05
3749,2023-01-1,266,ATL,GRK,10:24,11:48
3750,2023-01-1,267,LNK,ORD,10:19,12:05
3751,2023-01-1,268,EWR,IND,10:22,12:45
3759,2023-01-1,269,ATL,FAY,10:22,11:26
3810,2023-01-1,270,SDF,IAH,10:29,12:20
3821,2023-01-1,271,IAH,DAL,10:27,11:31
3825,2023-01-1,272,LFT,IAH,10:33,11:45
3826,2023-01-1,273,AGS,ATL,11:23,12:08
3870,2023-01-1,274,BNA,EWR,10:26,13:29
3871,2023-01-1,275,ATL,ILM,10:36,11:49
3883,2023-01-1,276,EWR,STL,10:26,12:28
3887,2023-01-1,277,ORD,SDF,10:29,12:35
3889,2023-01-1,278,IAH,CLE,10:35,14:07
3930,2023-01-1,279,ELP,IAH,10:41,13:32
3931,2023-01-1,280,EVV,ATL,10:35,12:52
3949,2023-01-1,281,LIT,ORD,10:36,12:16
3955,2023-01-1,282,FNT,ORD,10:40,11:01
3963,2023-01-1,283,IAH,SAV,10:43,13:40
4012,2023-01-1,284,EWR,SAV,10:46,12:59
4017,2023-01-1,285,RIC,EWR,10:40,12:10
4018,2023-01-1,286,HRL,IAH,13:42,14:53
4020,2023-01-1,287,DAL,IAH,10:44,11:55
4024,2023-01-1,288,ATL,IAH,10:36,12:09
4029,2023-01-1,289,ATL,CID,11:07,12:24
4074,2023-01-1,290,BPT,DFW,11:21,12:36
4075,2023-01-1,291,ATL,BMI,12:05,12:44
4076,2023-01-1,292,ROA,ATL,10:44,11:58
4077,2023-01-1,293,ORD,CLE,10:44,12:54
4092,2023-01-1,294,CRP,IAH,11:05,12:00
4093,2023-01-1,295,DHN,ATL,10:47,12:30
4096,2023-01-1,296,ATL,TUL,10:52,12:02
4100,2023-01-1,297,ORD,DAY,10:44,12:38
4106,2023-01-1,298,GSP,EWR,10:46,12:32
4151,2023-01-1,299,ABQ,IAH,10:52,14:12
4153,2023-01-1,300,ATL,GNV,10:49,11:50
4154,2023-01-1,301,DEN,BNA,11:04,14:11
4176,2023-01-1,302,ATL,JAN,10:56,11:18
4177,2023-01-1,303,ATL,AGS,10:52,11:36
4178,2023-01-1,304,MFE,IAH,10:59,12:08
4180,2023-01-1,305,PNS,IAH,10:51,12:41
4181,2023-01-1,306,LRD,IAH,10:53,11:57
4256,2023-01-1,307,SHV,ATL,10:57,13:29
4257,2023-01-1,308,ATL,AVL,11:03,12:02
4258,2023-01-1,309,IAH,DTW,10:50,14:24
4259,2023-01-1,310,LGA,ROC,10:50,12:11
4277,2023-01-1,311,JAX,ORD,10:54,12:43
4284,2023-01-1,312,TUL,DTW,11:09,14:21
4285,2023-01-1,313,DEN,LBB,13:26,15:56
4322,2023-01-1,314,ORD,CLT,11:15,13:54
4344,2023-01-1,315,VPS,IAH,10:55,12:57
4345,2023-01-1,316,AEX,ATL,10:56,13:25
4348,2023-01-1,317,EWR,RDU,11:02,12:36
4355,2023-01-1,318,PHF,ATL,11:12,12:55
4356,2023-01-1,319,CLT,IAH,11:00,13:05
4408,2023-01-1,320,ATW,ORD,11:16,12:18
4413,2023-01-1,321,GRB,ORD,11:12,12:12
4421,2023-01-1,322,MSY,EWR,11:20,15:03
4477,2023-01-1,323,MSN,ATL,11:14,14:02
4488,2023-01-1,324,AMA,IAH,11:06,13:05
4489,2023-01-1,325,BNA,IAH,11:10,13:37
4496,2023-01-1,326,MSY,DTW,11:14,14:34
4551,2023-01-1,327,GGG,DFW,11:43,12:31
4552,2023-01-1,328,ATL,MGM,11:22,11:06
4553,2023-01-1,329,CHA,ATL,11:12,11:52
4567,2023-01-1,330,SAV,ORD,11:19,12:41
4568,2023-01-1,331,GJT,IAH,11:15,15:01
4572,2023-01-1,332,TUS,IAH,11:14,14:24
4573,2023-01-1,333,IND,ORD,11:13,11:10
4634,2023-01-1,334,IAH,ELP,11:33,12:31
4635,2023-01-1,335,IAH,MFE,11:25,12:55
4637,2023-01-1,336,IAH,MOB,11:22,12:31
4638,2023-01-1,337,RDU,IAH,11:16,13:55
4657,2023-01-1,338,IAH,CRP,11:32,12:30
4663,2023-01-1,339,ATL,TLH,11:22,12:19
4666,2023-01-1,340,IAH,SLC,11:30,13:44
4667,2023-01-1,341,BHM,DTW,11:24,14:12
4732,2023-01-1,342,MSP,IAH,11:26,15:05
4733,2023-01-1,343,MSP,AUS,11:29,14:52
4761,2023-01-1,344,CAE,ATL,11:25,12:21
4765,2023-01-1,345,BHM,IAH,11:30,13:37
4767,2023-01-1,346,XNA,ATL,11:27,13:51
4814,2023-01-1,347,DFW,TYS,11:33,14:22
4832,2023-01-1,348,CVG,IAH,11:53,13:55
4833,2023-01-1,349,LEX,ATL,11:32,12:46
4837,2023-01-1,350,BDL,ORD,11:22,13:20
4891,2023-01-1,351,PNS,ORD,11:36,14:00
4892,2023-01-1,352,BNA,ORD,11:25,13:05
4893,2023-01-1,353,LFT,ATL,11:32,14:09
4913,2023-01-1,354,JAX,EWR,11:40,13:57
4914,2023-01-1,355,OMA,EWR,11:42,15:17
4979,2023-01-1,356,GSO,ATL,11:40,12:57
4980,2023-01-1,357,BTR,ATL,11:48,14:08
4992,2023-01-1,358,BTR,IAH,11:41,12:58
5055,2023-01-1,359,MLU,ATL,11:50,14:11
5056,2023-01-1,360,CHS,ORD,11:42,13:15
5074,2023-01-1,361,VLD,ATL,11:49,12:53
5130,2023-01-1,362,ORD,JAN,12:01,14:08
5131,2023-01-1,363,JAN,ATL,11:50,14:04
5132,2023-01-1,364,ORD,GRB,13:55,14:49
5134,2023-01-1,365,ORD,MLI,11:51,12:40
5148,2023-01-1,366,ORD,OMA,11:53,13:25
5158,2023-01-1,367,ORD,RAP,11:57,13:23
5166,2023-01-1,368,GSP,ATL,11:55,12:55
5225,2023-01-1,369,EWR,MCI,11:51,14:23
5226,2023-01-1,370,DTW,GRB,11:57,12:24
5227,2023-01-1,371,DTW,GSO,12:01,13:27
5228,2023-01-1,372,BQK,ATL,11:55,13:09
5243,2023-01-1,373,JAN,IAH,11:48,13:18
5246,2023-01-1,374,PIT,DEN,12:32,14:31
5247,2023-01-1,375,EWR,DTW,12:08,14:10
5251,2023-01-1,376,TYS,EWR,11:59,13:45
5316,2023-01-1,377,MCI,ORD,12:00,13:23
5317,2023-01-1,378,DTW,MCI,12:04,13:03
5318,2023-01-1,379,ORD,FAR,12:00,14:00
5338,2023-01-1,380,FAY,ATL,11:56,13:14
5339,2023-01-1,381,ATL,SGF,12:02,13:04
5347,2023-01-1,382,DAL,IAH,11:58,13:11
5348,2023-01-1,383,AGS,ATL,12:02,12:53
5349,2023-01-1,384,ATL,ROA,12:03,13:23
5390,2023-01-1,385,MOB,DFW,13:15,15:04
5391,2023-01-1,386,DFW,LIT,11:59,13:04
5392,2023-01-1,387,GPT,IAH,12:04,13:39
5393,2023-01-1,388,ATL,MOB,12:10,12:24
5396,2023-01-1,389,CSG,ATL,12:05,12:51
5397,2023-01-1,390,ATL,TRI,12:05,13:07
5407,2023-01-1,391,LIT,IAH,12:06,13:54
5408,2023-01-1,392,MYR,ATL,11:54,13:08
5414,2023-01-1,393,MSY,IAH,12:06,13:26
5415,2023-01-1,394,DTW,EWR,12:11,13:37
5421,2023-01-1,395,ATL,GNV,12:42,13:43
5461,2023-01-1,396,DTW,CLT,12:11,13:51
5462,2023-01-1,397,ATL,AEX,12:11,12:57
5483,2023-01-1,398,ATL,ILM,12:13,13:20
5486,2023-01-1,399,DFW,IAH,12:13,13:56
5487,2023-01-1,400,ATL,CRW,12:27,13:40
5491,2023-01-1,401,AVL,ATL,12:31,13:17
5492,2023-01-1,402,ATL,CAE,12:30,13:22
5494,2023-01-1,403,CLE,LGA,12:15,13:33
5495,2023-01-1,404,ATL,GPT,12:13,12:43
5540,2023-01-1,405,IAD,SAV,12:15,13:50
5541,2023-01-1,406,IAD,ORF,12:17,13:11
5542,2023-01-1,407,AVP,DTW,12:16,13:49
5543,2023-01-1,408,DTW,LEX,12:14,13:30
5544,2023-01-1,409,GSP,DTW,12:16,14:16
5545,2023-01-1,410,IAD,PVD,12:12,13:23
5555,2023-01-1,411,IAD,STL,14:43,16:00
5556,2023-01-1,412,IAD,IND,12:20,14:09
5557,2023-01-1,413,DTW,PHL,12:19,13:39
5567,2023-01-1,414,EWR,MKE,12:18,13:57
5568,2023-01-1,415,CHO,ATL,12:18,13:47
5569,2023-01-1,416,DEN,TUS,12:18,14:21
5573,2023-01-1,417,ILM,ATL,12:18,13:46
5612,2023-01-1,418,EWN,ATL,12:17,13:49
5613,2023-01-1,419,BTV,DTW,12:21,14:41
5634,2023-01-1,420,IAD,TYS,12:25,13:52
5641,2023-01-1,421,SBN,ORD,12:20,12:03
5644,2023-01-1,422,EWR,MSY,12:21,14:49
5683,2023-01-1,423,DFW,CRP,12:23,13:51
5685,2023-01-1,424,HPN,ATL,12:40,15:02
5687,2023-01-1,425,RIC,DTW,12:22,14:10
5688,2023-01-1,426,ATL,VPS,12:28,12:35
5704,2023-01-1,427,CLE,DCA,12:25,13:27
5714,2023-01-1,428,GRK,ATL,12:29,15:25
5715,2023-01-1,429,GNV,ATL,12:27,13:38
5752,2023-01-1,430,DEN,MOT,12:31,15:19
5753,2023-01-1,431,DTW,LAN,12:27,13:07
5754,2023-01-1,432,MLI,ATL,12:32,15:18
5756,2023-01-1,433,IAD,BDL,12:32,13:43
5783,2023-01-1,434,HSV,IAH,12:28,14:38
5784,2023-01-1,435,IAD,CAE,12:28,13:54
5787,2023-01-1,436,TUL,ATL,18:52,21:49
5826,2023-01-1,437,ATL,HPN,12:35,14:39
5844,2023-01-1,438,CLT,EWR,12:32,14:14
5894,2023-01-1,439,GRB,DTW,12:45,15:00
5895,2023-01-1,440,MDW,MSP,12:34,13:57
5914,2023-01-1,441,IAD,PIT,12:42,13:39
5915,2023-01-1,442,LNK,DEN,13:48,14:08
5969,2023-01-1,443,DFW,MEI,13:04,14:26
5970,2023-01-1,444,IAH,BNA,12:55,14:41
5971,2023-01-1,445,IAH,BHM,12:44,14:19
5972,2023-01-1,446,IAH,DFW,12:46,13:40
5973,2023-01-1,447,IAH,RIC,12:49,16:35
5974,2023-01-1,448,IAH,XNA,13:15,14:49
5975,2023-01-1,449,IAH,LCH,12:47,13:33
5976,2023-01-1,450,IAH,CLT,12:52,16:02
5977,2023-01-1,451,IAH,VPS,12:47,14:14
5978,2023-01-1,452,IAH,CLL,12:47,13:28
5979,2023-01-1,453,IAH,BTR,12:50,13:52
5988,2023-01-1,454,IAH,TYR,12:50,13:41
5994,2023-01-1,455,IAH,OMA,12:43,14:44
6006,2023-01-1,456,CHS,EWR,12:46,14:49
6007,2023-01-1,457,ATL,GTR,12:51,12:49
6010,2023-01-1,458,ORD,MEM,12:48,14:38
6011,2023-01-1,459,SHV,ATL,12:50,15:34
6049,2023-01-1,460,IAH,PNS,12:50,14:11
6050,2023-01-1,461,IAH,CRW,12:50,16:07
6066,2023-01-1,462,IAH,LIT,12:59,14:24
6067,2023-01-1,463,IAH,MKE,13:01,15:34
6068,2023-01-1,464,IAH,LEX,12:56,15:57
6073,2023-01-1,465,ELP,IAH,12:57,15:43
6074,2023-01-1,466,IAH,TUL,12:52,14:25
6075,2023-01-1,467,CMH,EWR,12:52,14:24
6085,2023-01-1,468,IAH,SDF,12:55,15:57
6086,2023-01-1,469,CRP,IAH,13:12,14:16
6147,2023-01-1,470,DFW,CRW,12:59,16:07
6148,2023-01-1,471,STL,EWR,12:59,16:05
6149,2023-01-1,472,EWR,STL,12:55,14:56
6150,2023-01-1,473,BNA,IAD,12:52,15:16
6151,2023-01-1,474,RDU,LGA,12:55,14:20
6152,2023-01-1,475,MOB,ATL,12:57,15:03
6153,2023-01-1,476,GSP,ATL,12:57,13:58
6154,2023-01-1,477,CID,MSP,12:56,13:58
6155,2023-01-1,478,MDT,DTW,12:55,14:24
6175,2023-01-1,479,IAH,TYS,13:23,16:24
6179,2023-01-1,480,IAD,MSP,13:03,15:43
6184,2023-01-1,481,IAH,MSP,13:02,15:45
6227,2023-01-1,482,BUF,DTW,12:57,14:15
6255,2023-01-1,483,IAH,ORF,13:06,16:48
6287,2023-01-1,484,ORD,LAN,13:06,14:53
6288,2023-01-1,485,ORD,CRW,13:05,15:17
6289,2023-01-1,486,ORD,ERI,13:09,15:23
6291,2023-01-1,487,ORD,DAY,13:15,15:28
6312,2023-01-1,488,TLH,ATL,13:05,14:12
6317,2023-01-1,489,ROC,MSP,13:12,15:01
6318,2023-01-1,490,IND,ORD,13:13,13:23
6321,2023-01-1,491,ABQ,IAH,16:50,20:00
6322,2023-01-1,492,BUF,ORD,13:05,13:53
6332,2023-01-1,493,ORD,BHM,13:13,15:12
6387,2023-01-1,494,ORD,ORF,13:08,15:58
6388,2023-01-1,495,ISN,DEN,14:11,15:05
6389,2023-01-1,496,ORD,CAK,13:08,15:17
6390,2023-01-1,497,ORD,MHT,13:08,15:58
6391,2023-01-1,498,ORD,FNT,13:05,15:08
