,ord_airport,dest_airport,depart_time,arr_time,day
49,SHV,DEN,1105.0,1232.0,4
50,SHV,DFW,1232.0,1337.0,4
51,SHV,IAH,1408.0,1500.0,4
52,SHV,ATL,1413.0,1643.0,4
53,SHV,IAH,1500.0,1556.0,4
54,SHV,ATL,1726.0,2007.0,4
55,SHV,IAH,1706.0,1816.0,4
56,SHV,DFW,2044.0,2141.0,4
57,SHV,IAH,524.0,624.0,5
58,SHV,ATL,536.0,817.0,5
59,SHV,DFW,633.0,727.0,5
60,SHV,ATL,657.0,924.0,5
61,SHV,IAH,656.0,812.0,5
62,SHV,DFW,,,5
63,SHV,ATL,754.0,1030.0,5
64,SHV,DEN,1020.0,1143.0,5
65,SHV,DFW,,,5
66,SHV,IAH,1354.0,1504.0,5
67,SHV,ATL,1413.0,1644.0,5
68,SHV,IAH,1504.0,1604.0,5
69,SHV,ATL,1656.0,1928.0,5
70,SHV,IAH,1737.0,1829.0,5
71,SHV,DFW,1820.0,1917.0,5
72,SHV,IAH,539.0,632.0,6
73,SHV,ATL,539.0,830.0,6
74,SHV,DFW,627.0,732.0,6
75,SHV,ATL,657.0,934.0,6
76,SHV,IAH,655.0,749.0,6
77,SHV,DFW,745.0,901.0,6
78,SHV,ATL,758.0,1034.0,6
79,SHV,DEN,853.0,1009.0,6
80,SHV,DFW,1315.0,1415.0,6
81,SHV,IAH,1347.0,1447.0,6
82,SHV,ATL,1413.0,1700.0,6
83,SHV,IAH,1459.0,1549.0,6
84,SHV,ATL,1659.0,1934.0,6
85,SHV,IAH,1701.0,1751.0,6
86,SHV,DFW,1841.0,1943.0,6
87,SHV,IAH,528.0,628.0,7
88,SHV,ATL,556.0,841.0,7
89,SHV,DFW,636.0,735.0,7
90,SHV,DFW,808.0,911.0,7
91,SHV,ATL,755.0,1042.0,7
92,SHV,ATL,1129.0,1417.0,7
93,SHV,DFW,1206.0,1303.0,7
94,SHV,IAH,1350.0,1452.0,7
95,SHV,IAH,1500.0,1618.0,7
96,SHV,ATL,1521.0,1801.0,7
97,SHV,IAH,523.0,614.0,8
98,SHV,ATL,546.0,812.0,8
99,SHV,DFW,631.0,724.0,8
100,SHV,ATL,659.0,948.0,8
101,SHV,DFW,744.0,851.0,8
102,SHV,ATL,751.0,1022.0,8
103,SHV,DEN,1045.0,1155.0,8
104,SHV,DFW,1215.0,1312.0,8
105,SHV,IAH,1345.0,1437.0,8
106,SHV,ATL,1413.0,1648.0,8
107,SHV,IAH,1447.0,1539.0,8
108,SHV,ATL,1701.0,1939.0,8
109,SHV,IAH,1655.0,1807.0,8
110,SHV,DFW,1821.0,1930.0,8
111,SHV,IAH,523.0,626.0,9
112,SHV,ATL,543.0,816.0,9
113,SHV,DFW,629.0,736.0,9
114,SHV,ATL,749.0,1048.0,9
115,SHV,IAH,704.0,812.0,9
116,SHV,DFW,740.0,837.0,9
117,SHV,ATL,759.0,1049.0,9
118,SHV,DEN,855.0,1021.0,9
119,SHV,DFW,1215.0,1315.0,9
120,SHV,IAH,1341.0,1435.0,9
121,SHV,ATL,1406.0,1648.0,9
122,SHV,IAH,1451.0,1600.0,9
123,SHV,ATL,1652.0,1933.0,9
124,SHV,IAH,1643.0,1754.0,9
125,SHV,DFW,1818.0,1924.0,9
126,SHV,IAH,520.0,614.0,10
127,SHV,ATL,545.0,829.0,10
128,SHV,DFW,631.0,725.0,10
129,SHV,ATL,657.0,933.0,10
130,SHV,IAH,700.0,813.0,10
131,SHV,DFW,744.0,844.0,10
132,SHV,ATL,758.0,1032.0,10
133,SHV,DEN,849.0,1026.0,10
134,SHV,DFW,1218.0,1320.0,10
135,SHV,IAH,1347.0,1444.0,10
136,SHV,ATL,1443.0,1711.0,10
137,SHV,IAH,1508.0,1601.0,10
138,SHV,IAH,1655.0,1748.0,10
139,SHV,ATL,1704.0,1928.0,10
140,SHV,DFW,1814.0,1913.0,10
141,SHV,IAH,520.0,618.0,11
142,SHV,ATL,540.0,802.0,11
143,SHV,DFW,633.0,731.0,11
144,SHV,ATL,652.0,925.0,11
145,SHV,IAH,658.0,754.0,11
146,SHV,DFW,744.0,845.0,11
147,SHV,ATL,759.0,1026.0,11
148,SHV,DEN,857.0,1036.0,11
149,SHV,DFW,1237.0,1328.0,11
150,SHV,IAH,1426.0,1530.0,11
151,SHV,ATL,1413.0,1654.0,11
152,SHV,IAH,1457.0,1559.0,11
153,SHV,ATL,1700.0,1934.0,11
154,SHV,IAH,1657.0,1812.0,11
155,SHV,DFW,1811.0,1907.0,11
156,SHV,IAH,530.0,621.0,12
157,SHV,ATL,540.0,825.0,12
158,SHV,DFW,633.0,727.0,12
159,SHV,IAH,652.0,758.0,12
160,SHV,ATL,657.0,937.0,12
161,SHV,DFW,920.0,1017.0,12
162,SHV,ATL,751.0,1034.0,12
163,SHV,DEN,859.0,1022.0,12
164,SHV,DFW,1232.0,1331.0,12
165,SHV,IAH,1358.0,1457.0,12
166,SHV,ATL,1414.0,1657.0,12
167,SHV,ATL,1649.0,1920.0,12
168,SHV,IAH,1701.0,1802.0,12
169,SHV,DFW,1810.0,1904.0,12
170,SHV,ATL,528.0,758.0,13
171,SHV,IAH,534.0,632.0,13
172,SHV,ATL,626.0,903.0,13
173,SHV,DFW,635.0,730.0,13
174,SHV,IAH,652.0,754.0,13
175,SHV,ATL,725.0,1006.0,13
176,SHV,DFW,909.0,1011.0,13
177,SHV,DEN,901.0,1027.0,13
178,SHV,ATL,1116.0,1352.0,13
179,SHV,DFW,1221.0,1320.0,13
180,SHV,ATL,1318.0,1543.0,13
181,SHV,IAH,1404.0,1500.0,13
182,SHV,IAH,1659.0,1753.0,13
183,SHV,DFW,1811.0,1917.0,13
184,SHV,IAH,538.0,630.0,14
185,SHV,ATL,554.0,826.0,14
186,SHV,DFW,706.0,801.0,14
187,SHV,IAH,659.0,751.0,14
188,SHV,DFW,738.0,830.0,14
189,SHV,ATL,806.0,1051.0,14
190,SHV,DEN,858.0,1022.0,14
191,SHV,DFW,1217.0,1321.0,14
192,SHV,ATL,1357.0,1623.0,14
193,SHV,DFW,1811.0,1911.0,14
194,SHV,IAH,530.0,640.0,15
195,SHV,ATL,555.0,820.0,15
196,SHV,DFW,631.0,727.0,15
197,SHV,IAH,652.0,801.0,15
198,SHV,DFW,737.0,841.0,15
199,SHV,ATL,756.0,1031.0,15
200,SHV,DEN,854.0,1019.0,15
201,SHV,ATL,1115.0,1350.0,15
202,SHV,DFW,1208.0,1316.0,15
203,SHV,ATL,1329.0,1557.0,15
204,SHV,IAH,1400.0,1455.0,15
205,SHV,IAH,1703.0,1804.0,15
206,SHV,DFW,1937.0,2041.0,15
207,SHV,ATL,606.0,842.0,16
208,SHV,IAH,644.0,747.0,16
209,SHV,ATL,625.0,857.0,16
210,SHV,DFW,634.0,744.0,16
211,SHV,IAH,720.0,824.0,16
212,SHV,ATL,724.0,953.0,16
213,SHV,DFW,751.0,913.0,16
214,SHV,DEN,1015.0,1240.0,16
215,SHV,ATL,1126.0,1410.0,16
216,SHV,DFW,1218.0,1324.0,16
217,SHV,ATL,1331.0,1605.0,16
218,SHV,IAH,1510.0,1612.0,16
219,SHV,IAH,2006.0,2100.0,16
220,SHV,DFW,1823.0,1916.0,16
221,SHV,ATL,525.0,754.0,17
222,SHV,IAH,531.0,631.0,17
223,SHV,ATL,626.0,853.0,17
224,SHV,DFW,721.0,821.0,17
225,SHV,IAH,705.0,813.0,17
226,SHV,ATL,726.0,1002.0,17
227,SHV,DFW,757.0,921.0,17
228,SHV,DEN,922.0,1049.0,17
229,SHV,ATL,1411.0,1632.0,17
230,SHV,DFW,1215.0,1315.0,17
231,SHV,ATL,1328.0,1555.0,17
232,SHV,IAH,1729.0,1825.0,17
233,SHV,IAH,1714.0,1813.0,17
234,SHV,DFW,2000.0,2108.0,17
235,SHV,ATL,533.0,759.0,18
236,SHV,IAH,537.0,639.0,18
237,SHV,ATL,651.0,936.0,18
238,SHV,DFW,632.0,744.0,18
239,SHV,IAH,653.0,804.0,18
240,SHV,ATL,724.0,1008.0,18
241,SHV,DFW,741.0,906.0,18
242,SHV,DEN,901.0,1037.0,18
243,SHV,ATL,1117.0,1343.0,18
244,SHV,DFW,1213.0,1319.0,18
245,SHV,ATL,1444.0,1713.0,18
246,SHV,IAH,1351.0,1458.0,18
247,SHV,IAH,1703.0,1807.0,18
248,SHV,DFW,1944.0,2036.0,18
249,SHV,ATL,531.0,755.0,19
250,SHV,IAH,534.0,638.0,19
251,SHV,ATL,737.0,1005.0,19
252,SHV,DFW,636.0,739.0,19
253,SHV,IAH,653.0,748.0,19
254,SHV,ATL,,,19
255,SHV,DFW,,,19
256,SHV,DEN,857.0,1029.0,19
257,SHV,ATL,1234.0,1505.0,19
258,SHV,DFW,1224.0,1328.0,19
259,SHV,ATL,1329.0,1610.0,19
260,SHV,IAH,1358.0,1455.0,19
261,SHV,IAH,1657.0,1801.0,19
262,SHV,DFW,1900.0,1959.0,19
263,SHV,ATL,530.0,752.0,20
264,SHV,IAH,535.0,636.0,20
265,SHV,ATL,717.0,942.0,20
266,SHV,DFW,650.0,758.0,20
267,SHV,IAH,649.0,759.0,20
268,SHV,ATL,726.0,1008.0,20
269,SHV,DFW,917.0,1031.0,20
270,SHV,DEN,957.0,1114.0,20
271,SHV,ATL,1515.0,1739.0,20
272,SHV,DFW,1223.0,1337.0,20
273,SHV,ATL,1331.0,1604.0,20
274,SHV,IAH,1348.0,1455.0,20
275,SHV,IAH,1706.0,1822.0,20
276,SHV,DFW,1818.0,1930.0,20
277,SHV,IAH,534.0,639.0,21
278,SHV,ATL,556.0,818.0,21
279,SHV,DFW,630.0,727.0,21
280,SHV,IAH,648.0,743.0,21
281,SHV,DFW,755.0,917.0,21
282,SHV,ATL,810.0,1037.0,21
283,SHV,DEN,904.0,1025.0,21
284,SHV,ATL,1112.0,1341.0,21
285,SHV,DFW,1220.0,1321.0,21
286,SHV,ATL,1641.0,1908.0,21
287,SHV,DFW,1926.0,2018.0,21
288,SHV,IAH,536.0,636.0,22
289,SHV,ATL,616.0,904.0,22
290,SHV,DFW,636.0,730.0,22
291,SHV,IAH,655.0,806.0,22
292,SHV,DFW,746.0,847.0,22
293,SHV,ATL,750.0,1025.0,22
294,SHV,DEN,,,22
295,SHV,ATL,1115.0,1343.0,22
296,SHV,DFW,1254.0,1400.0,22
297,SHV,ATL,1334.0,1615.0,22
298,SHV,IAH,1424.0,1519.0,22
299,SHV,IAH,1655.0,1808.0,22
300,SHV,DFW,,,22
301,SHV,ATL,,,23
302,SHV,IAH,,,23
303,SHV,ATL,,,23
304,SHV,DFW,,,23
305,SHV,IAH,,,23
306,SHV,ATL,,,23
307,SHV,DFW,,,23
308,SHV,DEN,856.0,1017.0,23
309,SHV,ATL,,,23
310,SHV,DFW,,,23
311,SHV,ATL,,,23
312,SHV,IAH,,,23
313,SHV,IAH,,,23
314,SHV,DFW,,,23
315,SHV,ATL,,,24
316,SHV,IAH,,,24
317,SHV,ATL,,,24
318,SHV,DFW,920.0,1125.0,24
319,SHV,IAH,,,24
320,SHV,ATL,,,24
321,SHV,DFW,948.0,1044.0,24
322,SHV,DEN,944.0,1107.0,24
323,SHV,ATL,,,24
324,SHV,DFW,1308.0,1441.0,24
325,SHV,ATL,1346.0,1612.0,24
326,SHV,IAH,1400.0,1458.0,24
327,SHV,IAH,1721.0,1821.0,24
328,SHV,DFW,,,24
329,SHV,ATL,526.0,801.0,25
330,SHV,IAH,,,25
331,SHV,ATL,634.0,917.0,25
332,SHV,DFW,,,25
333,SHV,IAH,,,25
334,SHV,ATL,725.0,958.0,25
335,SHV,DFW,933.0,1049.0,25
336,SHV,DEN,,,25
337,SHV,ATL,,,25
338,SHV,DFW,,,25
339,SHV,ATL,,,25
340,SHV,IAH,,,25
341,SHV,IAH,,,25
342,SHV,DFW,,,25
343,SHV,ATL,,,26
344,SHV,IAH,542.0,649.0,26
345,SHV,ATL,637.0,911.0,26
346,SHV,DFW,639.0,749.0,26
347,SHV,IAH,706.0,830.0,26
348,SHV,ATL,,,26
349,SHV,DFW,750.0,854.0,26
350,SHV,DEN,941.0,1111.0,26
351,SHV,ATL,1118.0,1358.0,26
352,SHV,DFW,1216.0,1318.0,26
353,SHV,ATL,1340.0,1617.0,26
354,SHV,IAH,1420.0,1515.0,26
355,SHV,IAH,1711.0,1822.0,26
356,SHV,DFW,1821.0,1928.0,26
357,SHV,ATL,547.0,814.0,27
358,SHV,IAH,536.0,636.0,27
359,SHV,ATL,627.0,909.0,27
360,SHV,DFW,634.0,738.0,27
361,SHV,IAH,656.0,811.0,27
362,SHV,ATL,726.0,955.0,27
363,SHV,DFW,758.0,917.0,27
364,SHV,DEN,905.0,1051.0,27
365,SHV,ATL,1131.0,1400.0,27
366,SHV,DFW,,,27
367,SHV,ATL,1331.0,1558.0,27
368,SHV,IAH,1425.0,1532.0,27
369,SHV,IAH,1907.0,2017.0,27
370,SHV,DFW,,,27
371,SHV,IAH,535.0,648.0,28
372,SHV,ATL,554.0,825.0,28
373,SHV,DFW,,,28
374,SHV,IAH,701.0,813.0,28
375,SHV,DFW,,,28
376,SHV,ATL,800.0,1030.0,28
377,SHV,DEN,901.0,1056.0,28
378,SHV,ATL,1124.0,1358.0,28
379,SHV,DFW,,,28
380,SHV,ATL,1529.0,1816.0,28
381,SHV,DFW,,,28
382,BTR,ATL,528.0,738.0,1
383,BTR,ATL,629.0,900.0,1
384,BTR,DFW,639.0,808.0,1
385,BTR,IAH,650.0,812.0,1
386,BTR,ATL,832.0,1043.0,1
387,BTR,ATL,957.0,1210.0,1
388,BTR,DFW,1404.0,1539.0,1
389,BTR,IAH,1131.0,1241.0,1
390,BTR,ATL,1204.0,1426.0,1
391,BTR,IAH,1431.0,1547.0,1
392,BTR,ATL,1455.0,1707.0,1
393,BTR,IAH,1657.0,1820.0,1
394,BTR,DFW,1749.0,1920.0,1
395,BTR,IAH,1858.0,2012.0,1
396,BTR,IAH,523.0,634.0,2
397,BTR,ATL,528.0,745.0,2
398,BTR,ATL,623.0,845.0,2
399,BTR,DFW,648.0,817.0,2
400,BTR,IAH,650.0,805.0,2
401,BTR,ATL,727.0,957.0,2
402,BTR,ATL,828.0,1046.0,2
403,BTR,IAH,910.0,1015.0,2
404,BTR,ATL,1010.0,1230.0,2
405,BTR,DFW,1041.0,1204.0,2
406,BTR,IAH,1139.0,1304.0,2
407,BTR,IAH,1414.0,1516.0,2
408,BTR,ATL,1512.0,1724.0,2
409,BTR,IAH,1649.0,1801.0,2
410,BTR,ATL,1717.0,1944.0,2
411,BTR,DFW,1747.0,1919.0,2
412,BTR,IAH,1856.0,1958.0,2
413,BTR,IAH,518.0,634.0,3
414,BTR,ATL,527.0,742.0,3
415,BTR,ATL,627.0,857.0,3
416,BTR,DFW,643.0,823.0,3
417,BTR,IAH,654.0,809.0,3
418,BTR,ATL,725.0,952.0,3
419,BTR,ATL,906.0,1124.0,3
420,BTR,ATL,1000.0,1220.0,3
421,BTR,DFW,1035.0,1204.0,3
422,BTR,IAH,1137.0,1310.0,3
423,BTR,IAH,1428.0,1535.0,3
424,BTR,ATL,1500.0,1714.0,3
425,BTR,IAH,1653.0,1807.0,3
426,BTR,ATL,1709.0,1932.0,3
427,BTR,DFW,1831.0,1956.0,3
428,BTR,IAH,1900.0,2006.0,3
429,BTR,IAH,520.0,626.0,4
430,BTR,ATL,526.0,749.0,4
431,BTR,ATL,626.0,848.0,4
432,BTR,DFW,859.0,1018.0,4
433,BTR,IAH,701.0,821.0,4
434,BTR,ATL,751.0,1011.0,4
435,BTR,ATL,947.0,1205.0,4
436,BTR,ATL,1014.0,1239.0,4
437,BTR,DFW,1031.0,1202.0,4
438,BTR,IAH,1140.0,1256.0,4
439,BTR,IAH,1415.0,1528.0,4
440,BTR,ATL,1459.0,1718.0,4
441,BTR,IAH,1703.0,1815.0,4
442,BTR,ATL,1716.0,1949.0,4
443,BTR,DFW,1748.0,1914.0,4
444,BTR,IAH,1859.0,2006.0,4
445,BTR,IAH,521.0,620.0,5
446,BTR,ATL,526.0,744.0,5
447,BTR,ATL,643.0,906.0,5
448,BTR,DFW,637.0,803.0,5
449,BTR,IAH,655.0,810.0,5
450,BTR,ATL,802.0,1024.0,5
451,BTR,ATL,841.0,1113.0,5
452,BTR,IAH,914.0,1026.0,5
453,BTR,ATL,936.0,1156.0,5
454,BTR,DFW,1208.0,1333.0,5
455,BTR,IAH,1135.0,1247.0,5
456,BTR,IAH,1438.0,1541.0,5
457,BTR,ATL,1508.0,1731.0,5
458,BTR,IAH,1705.0,1835.0,5
459,BTR,ATL,1722.0,2004.0,5
460,BTR,DFW,1801.0,1926.0,5
461,BTR,IAH,1859.0,2009.0,5
462,BTR,IAH,520.0,651.0,6
463,BTR,ATL,526.0,749.0,6
464,BTR,ATL,623.0,909.0,6
465,BTR,DFW,638.0,816.0,6
466,BTR,IAH,651.0,809.0,6
467,BTR,ATL,722.0,1004.0,6
468,BTR,ATL,835.0,1117.0,6
469,BTR,IAH,908.0,1020.0,6
470,BTR,ATL,1049.0,1310.0,6
471,BTR,DFW,1100.0,1226.0,6
472,BTR,IAH,1138.0,1248.0,6
473,BTR,IAH,1417.0,1533.0,6
474,BTR,ATL,1511.0,1732.0,6
475,BTR,IAH,1655.0,1815.0,6
476,BTR,ATL,1717.0,2015.0,6
477,BTR,DFW,1757.0,1927.0,6
478,BTR,IAH,1859.0,2008.0,6
479,BTR,ATL,630.0,912.0,7
480,BTR,IAH,650.0,759.0,7
481,BTR,ATL,724.0,948.0,7
482,BTR,ATL,830.0,1052.0,7
483,BTR,IAH,908.0,1021.0,7
484,BTR,ATL,1002.0,1235.0,7
485,BTR,DFW,1035.0,1157.0,7
486,BTR,IAH,1135.0,1239.0,7
487,BTR,ATL,1531.0,1757.0,7
488,BTR,IAH,1656.0,1802.0,7
489,BTR,ATL,526.0,750.0,8
490,BTR,ATL,626.0,905.0,8
491,BTR,DFW,643.0,837.0,8
492,BTR,IAH,649.0,755.0,8
493,BTR,ATL,830.0,1106.0,8
494,BTR,IAH,907.0,1031.0,8
495,BTR,ATL,1001.0,1234.0,8
496,BTR,DFW,1047.0,1207.0,8
497,BTR,IAH,1145.0,1252.0,8
498,BTR,ATL,1205.0,1434.0,8
499,BTR,IAH,1411.0,1514.0,8
500,BTR,ATL,1444.0,1705.0,8
501,BTR,IAH,1707.0,1825.0,8
502,BTR,ATL,1709.0,1936.0,8
503,BTR,DFW,1838.0,,8
504,BTR,IAH,,,8
505,BTR,IAH,,,9
506,BTR,ATL,741.0,1023.0,9
507,BTR,ATL,828.0,1127.0,9
508,BTR,DFW,733.0,852.0,9
509,BTR,IAH,738.0,838.0,9
510,BTR,ATL,,,9
511,BTR,ATL,937.0,1204.0,9
512,BTR,IAH,933.0,1037.0,9
513,BTR,ATL,1018.0,1249.0,9
514,BTR,DFW,1038.0,1156.0,9
515,BTR,IAH,1136.0,1238.0,9
516,BTR,IAH,1431.0,1539.0,9
517,BTR,ATL,1454.0,1721.0,9
518,BTR,IAH,1655.0,1802.0,9
519,BTR,ATL,1717.0,2001.0,9
520,BTR,DFW,1752.0,1910.0,9
521,BTR,IAH,1857.0,2002.0,9
522,BTR,IAH,521.0,627.0,10
523,BTR,ATL,529.0,815.0,10
524,BTR,ATL,624.0,902.0,10
525,BTR,DFW,636.0,809.0,10
526,BTR,IAH,655.0,823.0,10
527,BTR,ATL,737.0,1008.0,10
528,BTR,ATL,831.0,1052.0,10
529,BTR,ATL,1003.0,1226.0,10
530,BTR,DFW,1038.0,1205.0,10
531,BTR,IAH,1136.0,1257.0,10
532,BTR,IAH,1415.0,1522.0,10
533,BTR,ATL,1502.0,1726.0,10
534,BTR,IAH,1658.0,1814.0,10
535,BTR,ATL,1712.0,1956.0,10
536,BTR,DFW,1819.0,1958.0,10
537,BTR,IAH,1859.0,2005.0,10
538,BTR,IAH,525.0,630.0,11
539,BTR,ATL,526.0,908.0,11
540,BTR,ATL,623.0,905.0,11
541,BTR,DFW,636.0,805.0,11
542,BTR,IAH,653.0,828.0,11
543,BTR,ATL,725.0,953.0,11
544,BTR,ATL,829.0,1044.0,11
545,BTR,ATL,1011.0,1229.0,11
546,BTR,DFW,1042.0,1205.0,11
547,BTR,IAH,1138.0,1251.0,11
548,BTR,IAH,1409.0,1530.0,11
549,BTR,ATL,1511.0,1728.0,11
550,BTR,IAH,1700.0,1815.0,11
551,BTR,ATL,1712.0,1947.0,11
552,BTR,DFW,1911.0,2029.0,11
553,BTR,IAH,1859.0,2017.0,11
554,BTR,IAH,525.0,631.0,12
555,BTR,ATL,530.0,757.0,12
556,BTR,ATL,645.0,909.0,12
557,BTR,DFW,641.0,825.0,12
558,BTR,IAH,657.0,812.0,12
559,BTR,ATL,723.0,946.0,12
560,BTR,ATL,829.0,1048.0,12
561,BTR,IAH,925.0,1041.0,12
562,BTR,ATL,1024.0,1245.0,12
563,BTR,DFW,1038.0,1206.0,12
564,BTR,IAH,1146.0,1249.0,12
565,BTR,IAH,1457.0,1604.0,12
566,BTR,ATL,1512.0,1732.0,12
567,BTR,IAH,1559.0,1715.0,12
568,BTR,IAH,1702.0,1806.0,12
569,BTR,ATL,1708.0,1936.0,12
570,BTR,DFW,1813.0,1934.0,12
571,BTR,IAH,1908.0,2024.0,12
572,BTR,IAH,527.0,645.0,13
573,BTR,ATL,618.0,847.0,13
574,BTR,ATL,629.0,905.0,13
575,BTR,DFW,637.0,803.0,13
576,BTR,IAH,656.0,805.0,13
577,BTR,ATL,725.0,951.0,13
578,BTR,ATL,1102.0,1323.0,13
579,BTR,IAH,918.0,1026.0,13
580,BTR,ATL,1005.0,1233.0,13
581,BTR,DFW,1039.0,1202.0,13
582,BTR,IAH,1134.0,1246.0,13
583,BTR,IAH,1423.0,1536.0,13
584,BTR,ATL,1454.0,1717.0,13
585,BTR,IAH,1554.0,1705.0,13
586,BTR,IAH,1701.0,1808.0,13
587,BTR,ATL,1711.0,1939.0,13
588,BTR,DFW,1845.0,2025.0,13
589,BTR,IAH,1907.0,2009.0,13
590,BTR,IAH,517.0,622.0,14
591,BTR,ATL,627.0,906.0,14
592,BTR,DFW,644.0,807.0,14
593,BTR,IAH,656.0,815.0,14
594,BTR,ATL,729.0,1001.0,14
595,BTR,ATL,839.0,1113.0,14
596,BTR,ATL,1011.0,1246.0,14
597,BTR,DFW,1047.0,1214.0,14
598,BTR,IAH,1350.0,1501.0,14
599,BTR,IAH,1440.0,1542.0,14
600,BTR,ATL,1534.0,1759.0,14
601,BTR,DFW,1757.0,1926.0,14
602,BTR,IAH,1851.0,2000.0,14
603,BTR,ATL,538.0,802.0,15
604,BTR,ATL,629.0,855.0,15
605,BTR,DFW,634.0,801.0,15
606,BTR,IAH,654.0,801.0,15
607,BTR,ATL,729.0,1000.0,15
608,BTR,ATL,836.0,1049.0,15
609,BTR,IAH,926.0,1030.0,15
610,BTR,ATL,1006.0,1229.0,15
611,BTR,DFW,1105.0,1233.0,15
612,BTR,IAH,1141.0,1248.0,15
613,BTR,IAH,1415.0,1518.0,15
614,BTR,ATL,1446.0,1701.0,15
615,BTR,IAH,1555.0,1706.0,15
616,BTR,IAH,1704.0,1811.0,15
617,BTR,ATL,1719.0,1943.0,15
618,BTR,DFW,1809.0,1939.0,15
619,BTR,IAH,1925.0,2031.0,15
620,BTR,IAH,520.0,631.0,16
621,BTR,ATL,540.0,750.0,16
622,BTR,ATL,630.0,854.0,16
623,BTR,DFW,647.0,815.0,16
624,BTR,IAH,652.0,805.0,16
625,BTR,ATL,1033.0,1300.0,16
626,BTR,ATL,839.0,1052.0,16
627,BTR,IAH,909.0,1022.0,16
628,BTR,ATL,1010.0,1231.0,16
629,BTR,DFW,1119.0,1245.0,16
630,BTR,IAH,1134.0,1237.0,16
631,BTR,IAH,1419.0,1534.0,16
632,BTR,ATL,1646.0,1920.0,16
633,BTR,IAH,1724.0,1836.0,16
634,BTR,ATL,1919.0,2201.0,16
635,BTR,DFW,1830.0,1956.0,16
636,BTR,IAH,1906.0,2027.0,16
637,BTR,IAH,523.0,650.0,17
638,BTR,ATL,550.0,830.0,17
639,BTR,ATL,,,17
640,BTR,DFW,654.0,834.0,17
641,BTR,IAH,703.0,853.0,17
642,BTR,ATL,729.0,1002.0,17
643,BTR,ATL,843.0,1107.0,17
644,BTR,IAH,914.0,1027.0,17
645,BTR,ATL,953.0,1217.0,17
646,BTR,DFW,1051.0,1218.0,17
647,BTR,IAH,1143.0,1252.0,17
648,BTR,IAH,1413.0,1519.0,17
649,BTR,ATL,1501.0,1709.0,17
650,BTR,IAH,1623.0,1740.0,17
651,BTR,IAH,1701.0,1824.0,17
652,BTR,ATL,1720.0,2011.0,17
653,BTR,DFW,1808.0,1938.0,17
654,BTR,IAH,1900.0,2014.0,17
655,BTR,IAH,520.0,643.0,18
656,BTR,ATL,530.0,810.0,18
657,BTR,ATL,630.0,858.0,18
658,BTR,DFW,,,18
659,BTR,IAH,654.0,814.0,18
660,BTR,ATL,731.0,1030.0,18
661,BTR,ATL,841.0,1101.0,18
662,BTR,IAH,915.0,1021.0,18
663,BTR,ATL,1109.0,1329.0,18
664,BTR,DFW,1106.0,1236.0,18
665,BTR,IAH,1154.0,1259.0,18
666,BTR,IAH,1419.0,1528.0,18
667,BTR,ATL,1534.0,1759.0,18
668,BTR,IAH,1553.0,1657.0,18
669,BTR,IAH,1700.0,1818.0,18
670,BTR,ATL,1811.0,2033.0,18
671,BTR,DFW,1754.0,1916.0,18
672,BTR,IAH,1905.0,2022.0,18
673,BTR,IAH,519.0,635.0,19
674,BTR,ATL,528.0,743.0,19
675,BTR,ATL,625.0,852.0,19
