,FLIGHT_NUMBER,TAIL_NUMBER
2841,4940,N754EV
2904,4187,N12569
2922,4891,N720EV
2965,5797,N14116
2974,5996,N11536
2982,6001,N13118
3031,5685,N836AS
3046,4965,N607LR
3050,4246,N13132
3097,4126,N19554
3098,4528,N21537
3099,4756,N16976
3100,6122,N14950
3117,4525,N27190
3125,4754,N17146
3178,4535,N14198
3179,5470,N138EV
3180,5387,N707EV
3200,4947,N723EV
3205,5069,N933EV
3207,5211,N134EV
3253,4723,N21144
3254,4860,N11184
3255,5484,N228PQ
3256,6066,N14186
3267,4896,N916EV
3279,5988,N17115
3351,4497,N14907
3352,5255,N741EV
3354,5451,N614QX
3355,5389,N979EV
3356,5942,N16147
3384,4351,N11187
3385,4317,N14168
3434,4714,N12563
3435,5317,N923EV
3436,5726,N835AS
3450,4323,N11181
3455,6184,N12136
3508,2527,N880AS
3510,2509,N876AS
3512,5771,N833AS
3513,5904,N13997
3514,5694,N834AS
3530,6015,N14998
3533,4388,N14568
3535,5597,N752EV
3590,4201,N16919
3591,4574,N41104
3592,4717,N13553
3594,4865,N12530
3607,5789,N16918
3621,3266,N14991
3622,4664,N13965
3626,4476,N13566
3627,6099,N25134
3676,4587,N14143
3677,4997,N146PQ
3678,6152,N17196
3694,4490,N16571
3695,4542,N13538
3696,4634,N16178
3699,4192,N13995
3700,4307,N12528
3728,5343,N753EV
3729,5660,N14173
3730,5978,N12921
3731,6159,N17560
3739,5107,N878AS
3749,5165,N186PQ
3750,6038,N16541
3751,5677,N24128
3759,5063,N837AS
3810,4708,N11539
3821,3920,N13964
3825,4728,N15527
3826,5541,N871AS
3870,4615,N16911
3871,5358,N861AS
3883,4711,N12195
3887,3965,N15983
3889,4199,N14179
3930,4378,N29906
3949,5903,N14904
3955,4174,N31131
3963,4415,N14117
4012,4495,N21130
4017,4409,N14902
4018,4671,N12552
4020,5783,N17524
4024,5792,N13123
4029,5175,N713EV
4075,5082,N153PQ
4077,5691,N827AS
4092,4609,N28529
4093,5113,N528CA
4096,5163,N709EV
4100,4730,N14916
4106,4502,N13903
4151,4372,N14570
4153,5489,N922EV
4154,6073,N12172
4176,5067,N857AS
4177,5503,N919EV
4178,5802,N14960
4180,3927,N14974
4181,4647,N16525
4256,4981,N851AS
4257,4872,N850AS
4258,5169,N166PQ
4259,5545,N759EV
4277,3258,N13958
4285,6183,N16183
4322,4518,N48901
4344,4093,N14125
4345,5488,N981EV
4348,4121,N11113
4355,5219,N855AS
4356,5956,N11548
4408,4731,N14950
4413,4737,N16976
4421,4576,N11107
4488,4403,N14977
4489,4617,N12967
4496,5010,N615QX
4552,5183,N853AS
4553,5323,N856AS
4567,4142,N15973
4568,6163,N11165
4572,4208,N26545
4573,6135,N12166
4634,3953,N15572
4635,4128,N13988
4637,4470,N26549
4638,4485,N13161
4657,4496,N14543
4663,4888,N600QX
4666,4472,N12163
4667,5172,N849AS
4732,4917,N744EV
4733,5050,N614QX
4765,4172,N13956
4814,2545,N906EV
4832,4448,N11164
4837,4349,N15986
4891,4103,N13908
4892,4738,N12569
4913,4297,N13989
4914,3954,N13133
4980,5210,N925EV
4992,4725,N12530
5055,5090,N868AS
5056,5918,N15910
5074,5525,N937EV
5130,4589,N13992
5132,5919,N15574
5134,6149,N14562
5148,4670,N31131
5158,3956,N11535
5225,4567,N11189
5226,4996,N860AS
5227,5002,N900EV
5228,5270,N931EV
5243,5799,N16918
5246,3946,N13124
5247,4118,N29917
5251,4712,N16112
5316,3949,N14920
5317,4937,N748EV
5318,6008,N12166
5339,5243,N980EV
5347,4630,N13964
5349,5399,N884AS
5391,2569,N909EV
5392,4588,N12528
5393,4999,N859AS
5396,5046,N936EV
5397,5344,N686BR
5407,4176,N13965
5414,4217,N14173
5415,4942,N754EV
5421,5030,N871AS
5461,5055,N730EV
5462,5245,N927EV
5483,4933,N882AS
5486,4710,N17185
5487,5425,N870AS
5492,5019,N181PQ
5494,4200,N13566
5495,4982,N758EV
5540,3262,N16987
5541,4309,N11565
5542,5005,N843AS
5543,5238,N923EV
5544,5200,N844AS
5555,4264,N27962
5556,4441,N17146
5557,4983,N228PQ
5568,5110,N839AS
5569,4336,N11199
5612,5313,N840AS
5613,5442,N921EV
5634,4133,N14998
5641,5692,N834AS
5644,4864,N11127
5683,2516,N877AS
5687,5028,N612QX
5688,5426,N712EV
5704,4214,N19554
5752,4271,N11119
5753,4930,N914EV
5754,5594,N582CA
5756,6158,N13118
5783,4569,N13538
5784,5731,N832AS
5826,5146,N133EV
5844,4325,N12563
5895,5500,N722EV
5914,5690,N836AS
5915,6130,N21144
5969,2570,N876AS
5970,4097,N22971
5971,4267,N13970
5972,4671,N13978
5973,4604,N13123
5974,4607,N15555
5975,4609,N17524
5976,4619,N12567
5977,4592,N14907
5979,5664,N14993
5988,5802,N28529
5994,4562,N13913
6006,4111,N16559
6007,4973,N856AS
6010,3266,N17169
6011,5549,N881AS
6049,4481,N13914
6050,4465,N16149
6066,4127,N13550
6067,4263,N19966
6068,5663,N14558
6073,4394,N15572
6074,4611,N11539
6075,4335,N13997
6085,4677,N12160
6086,4345,N14543
6147,2546,N830AS
6148,4130,N12195
6150,4410,N13995
6151,4884,N708EV
6153,5236,N979EV
6154,5314,N713EV
6155,5440,N846AS
6175,4212,N14923
6184,4362,N24103
6227,5179,N740EV
6255,4105,N27190
6287,3936,N11536
6288,4242,N13969
6289,4464,N13958
6291,4753,N15973
6317,5382,N759EV
6318,6125,N24128
6321,4706,N14972
6322,5994,N15912
6332,4637,N17138
6387,3260,N16541
6388,3267,N14186
6389,3256,N14950
6390,4174,N14904
6391,4421,N15980
6392,4693,N14902
6394,5364,N760EV
6395,6038,N14188
6417,3929,N14568
6419,4313,N11150
6427,3950,N16976
6428,4190,N11181
6429,4288,N13988
6430,4447,N11187
6431,5915,N26549
6439,6110,N14562
6486,2521,N904EV
6487,4175,N13132
6488,4294,N16999
6489,4402,N26141
6490,5726,N834AS
6491,6167,N11551
6503,5087,N847AS
6504,6011,N15574
6561,4901,N676CA
6573,3925,N16525
6574,4253,N14977
6583,5307,N528CA
6636,4476,N14573
6652,4387,N14974
6653,4640,N16963
6657,4687,N21537
6672,3255,N21130
6673,4512,N18557
6710,2558,N902EV
6732,5687,N827AS
6737,5308,N878AS
6738,5334,N936EV
6739,5356,N916EV
6784,4355,N14125
6785,5485,N138EV
6802,4224,N11113
6803,4698,N11548
6804,6112,N16147
6811,4395,N13975
6870,4449,N12530
6871,4974,N855AS
6894,3947,N12136
6901,3934,N21129
6953,4215,N11565
6954,4502,N14116
6955,5006,N919EV
6956,5459,N608QX
6985,6033,N25134
7035,4178,N17560
7036,4290,N11535
7037,4419,N14198
7038,6179,N21144
7045,5106,N135EV
7060,4757,N12157
7066,4179,N16571
7067,4509,N24128
7080,6165,N14542
7141,4142,N12569
7144,4985,N933EV
7162,5670,N13964
7163,5997,N16183
7167,3265,N14168
7170,4399,N16918
7171,5151,N937EV
7173,4089,N18556
7214,2508,N905EV
7215,5247,N761ND
7221,5204,N755EV
7224,6169,N17196
7229,5796,N41104
7230,4277,N11184
7232,4747,N15527
7233,5535,N900EV
7280,3939,N17524
7294,4100,N14171
7295,5736,N833AS
7299,4729,N12996
7349,2529,N903EV
7350,5613,N837AS
7363,5567,N850AS
7365,4663,N14143
7367,4171,N16911
7372,4530,N31131
7373,4338,N13553
7418,4737,N15986
7434,4360,N14993
7438,4170,N15985
7439,6130,N11106
7442,4622,N14117
7449,5791,N28529
7489,4250,N12921
7490,6182,N13118
7505,4184,N12163
7509,4584,N16178
7564,4257,N13956
7565,4507,N16170
7588,4621,N15983
7590,5166,N924EV
7596,4204,N29917
7597,5956,N14173
7599,4283,N13978
7600,4526,N13161
7601,4601,N11164
7605,4226,N14998
7607,4725,N12922
7646,5942,N34110
7662,5931,N13992
7663,6043,N14916
7670,3258,N14920
7711,2513,N880AS
7715,5741,N832AS
7737,4943,N754EV
7739,4255,N13989
7740,5721,N836AS
7802,3955,N12528
7803,4093,N14570
7804,4193,N16112
7805,4289,N17108
7806,5737,N827AS
7816,4630,N11137
7820,6138,N16546
7861,4755,N12166
7862,5903,N13908
7883,5991,N15555
7884,6156,N14186
7887,3937,N14907
7888,4202,N11551
7889,4299,N19554
7890,4479,N13914
7891,4404,N11189
7898,5013,N981EV
7899,5056,N839AS
7900,5551,N840AS
7950,4103,N14562
7951,4143,N14179
7952,4939,N720EV
7953,5274,N753EV
7970,4090,N12172
7971,4315,N14902
7974,4303,N29906
7975,5331,N861AS
7977,4320,N11539
7981,4135,N48901
7982,4620,N11199
7983,5668,N13550
7998,3957,N17115
7999,5335,N134EV
8060,5024,N730EV
8061,5027,N707EV
8063,5384,N872AS
8064,6132,N13970
8134,5225,N600QX
8154,4615,N12563
8192,4935,N838AS
8193,5296,N752EV
8209,6161,N13124
8213,4588,N13988
8218,4104,N22971
8220,4489,N13968
8227,4177,N17146
8228,4731,N12136
8276,4364,N27200
8290,3951,N16525
8291,5955,N17169
8294,5306,N853AS
8295,5261,N871AS
8344,2504,N901EV
8345,4217,N13538
8346,5140,N611QX
8347,5339,N146PQ
8361,3933,N14974
8363,5397,N760EV
8373,5531,N857AS
8379,4334,N11140
8424,5214,N846AS
8425,5411,N849AS
8426,5269,N713EV
8441,4628,N16919
8446,4589,N11548
8447,4347,N12530
8459,5798,N13964
8517,5058,N740EV
8534,4578,N17138
8537,4670,N13913
8591,4254,N12552
8592,4186,N18102
8593,4288,N11184
8594,4593,N15527
8595,6128,N14514
8600,4340,N25134
8612,3263,N11536
8613,5251,N921EV
8617,4208,N11187
8618,5604,N607LR
8621,5355,N606LR
8626,4672,N11107
8671,4372,N11176
8688,6003,N16918
8756,4493,N26545
8757,4647,N11181
8758,5327,N612QX
8776,3946,N11150
8777,4353,N13132
8826,4499,N14993
8827,4659,N17524
8829,5287,N738EV
8830,5487,N844AS
8831,5603,N914EV
8842,4931,N860AS
8844,3964,N16976
8845,4736,N14179
8846,5542,N859AS
8908,4165,N15980
8909,4352,N16559
8910,5342,N925EV
8911,5345,N166PQ
8929,4147,N15973
8934,3959,N11119
8935,4487,N11127
8936,4684,N16963
8937,5662,N14204
9015,4291,N13965
9016,4975,N708EV
9017,5033,N852AS
9018,5126,N138EV
9019,5138,N538CA
9021,5447,N391CA
9045,4662,N15574
9048,4138,N12922
9049,5967,N14116
9053,4270,N14188
9058,5906,N21129
9092,5538,N843AS
9093,5383,N759EV
9098,4349,N11565
9109,4550,N14542
9110,5602,N868AS
9114,3274,N13958
9115,4688,N19966
9121,5935,N13161
9165,5536,N922EV
9185,4890,N931EV
9187,4224,N13133
9188,5181,N686BR
9191,4629,N21537
9239,2530,N877AS
9240,3949,N11536
9241,4091,N11113
9242,4273,N17115
9243,5152,N730EV
9244,5443,N900EV
9266,4297,N14568
9267,4360,N13978
9272,5167,N751EV
9273,4311,N15912
9319,4189,N28529
9320,5928,N26549
9339,5400,N881AS
9351,4645,N24103
9390,4699,N16571
9391,6110,N14168
9405,5803,N12201
9415,3930,N16911
9482,4375,N14923
9483,4469,N12528
9484,5508,N878AS
9492,4544,N16170
9552,3265,N15973
9560,5248,N761ND
9564,3963,N15980
9565,4435,N11164
9566,4573,N15572
9606,4088,N14570
9608,4953,N936EV
9609,5305,N871AS
9610,5988,N12160
9617,4457,N14558
9619,4315,N19554
9621,5797,N41104
9624,5149,N676CA
9631,4209,N14171
9632,4624,N13956
9633,6105,N12567
9674,4242,N16149
9675,5207,N882AS
9676,5290,N870AS
9688,4602,N14198
9689,4971,N856AS
9696,3944,N14180
9697,4180,N17560
9748,3263,N11551
9749,3947,N16976
9750,4248,N14173
9754,4706,N15983
9760,4309,N16541
9761,6028,N13975
9801,3925,N13988
9802,4226,N14117
9803,4760,N13995
9804,5336,N926EV
9805,5268,N851AS
9821,4420,N14904
9826,4570,N16999
9899,4758,N14916
9900,5293,N927EV
9901,5495,N153PQ
9921,4534,N16987
9926,4182,N13553
9927,5739,N834AS
9931,4283,N13914
9932,6043,N12921
9933,6136,N14514
9934,4322,N13123
9985,2547,N902EV
9986,2511,N906EV
9987,4759,N14998
9989,5741,N833AS
10012,4220,N13538
10020,3931,N12157
10021,4228,N11184
10024,5689,N836AS
10028,4194,N15527
10029,5957,N15986
10070,4501,N18557
10088,4377,N14125
10090,6139,N11140
10139,6182,N14158
10152,5122,N847AS
10156,4362,N16147
10157,6126,N12569
10160,5202,N919EV
10161,5721,N835AS
10162,5672,N14204
10163,6138,N13118
10205,3257,N16546
10206,5621,N858AS
10207,5736,N832AS
10209,6079,N13958
10235,4144,N13989
10286,4191,N12195
10287,5310,N924EV
10322,3260,N27190
10323,4566,N14902
10370,3939,N13964
10371,5394,N750EV
10372,6030,N12136
10373,6011,N12166
10383,4310,N13566
10399,4240,N24128
10408,3267,N11119
10448,4391,N11539
10449,4747,N13965
10457,5791,N16525
10467,4136,N17169
10468,4281,N11548
10479,3921,N17196
10480,4572,N12563
10487,5433,N712EV
10488,6112,N16112
10533,4163,N14907
10548,4383,N26141
10549,5668,N11109
10555,4139,N29906
10560,4138,N13550
10561,4259,N14558
10634,2531,N905EV
10636,4666,N11547
10661,4373,N29917
10712,5502,N937EV
10784,4268,N14920
10786,5540,N884AS
10787,5916,N13975
10873,4453,N17524
10874,6115,N16911
10890,4205,N11187
10891,4454,N12552
10894,4742,N13992
10895,5964,N12163
10957,2566,N909EV
10958,3269,N12922
10959,4110,N11535
10960,5934,N14562
10978,4239,N28529
10982,4181,N34110
10989,4251,N18556
10990,4596,N11107
10991,4601,N13124
11028,2534,N880AS
11048,4600,N14117
11052,4580,N13133
11053,5679,N15986
11118,4382,N13132
11122,4716,N11551
11132,5905,N12201
11179,3959,N17138
11181,5922,N13913
11184,4368,N17560
11224,6164,N14923
11238,3938,N16571
11242,4364,N14993
11310,4881,N707EV
11331,4414,N14186
11335,4540,N15572
11384,4357,N16559
11385,4605,N21130
11394,4337,N13978
11437,6114,N11565
11440,4516,N26549
11444,4361,N13903
11502,4450,N13553
11514,3271,N16963
11515,4381,N14568
11562,2550,N901EV
11563,6153,N16541
11581,4653,N13914
11585,4532,N14188
11637,5595,N980EV
11652,3926,N16525
11664,4964,N134EV
11714,3923,N14977
11716,4222,N14177
11717,4262,N14960
11718,4285,N17108
11719,4367,N14542
11720,4474,N13968
11721,4385,N16170
11722,4718,N11164
11724,4713,N12136
11725,5249,N859AS
11726,5424,N933EV
11727,5780,N14514
11728,6137,N48901
11745,6157,N13958
11779,2571,N879AS
11780,4154,N11181
11781,4527,N11113
11782,6174,N14974
11790,4210,N12967
11791,5557,N751EV
11795,4124,N12145
11796,4536,N21537
11804,5756,N833AS
11808,4245,N13995
11845,4092,N13965
11846,4234,N14168
11847,4188,N22971
11848,4308,N36915
11849,4993,N752EV
11859,4359,N16149
11910,2518,N904EV
11911,4238,N11199
11912,4278,N16999
11913,4683,N12172
11914,4869,N181PQ
11915,5244,N840AS
11916,5587,N528CA
11917,5939,N12921
11929,4595,N13538
11933,3948,N16976
11934,5805,N13964
11935,4350,N13988
11981,4545,N15527
11982,5095,N916EV
12024,4408,N12567
12025,5585,N853AS
12026,5769,N832AS
12035,4326,N15574
12097,2524,N877AS
12098,3964,N14904
12099,4430,N13123
12100,4894,N691CA
12101,4748,N29917
12102,4878,N607LR
12120,4422,N19554
12121,5686,N835AS
12122,6063,N11109
12169,5043,N855AS
12170,5744,N834AS
12186,4212,N15980
12187,4352,N26545
12190,4554,N31131
12191,6026,N14562
12195,5807,N12157
12236,4184,N11140
12237,4473,N18557
12238,5298,N750EV
12239,5906,N13161
12257,5036,N979EV
12264,4193,N14158
12312,5299,N850AS
12336,5937,N21129
12337,5912,N12160
12353,4541,N25134
12390,5093,N881AS
12391,5444,N839AS
12392,6018,N14116
12472,4560,N14916
12473,5351,N838AS
12474,6085,N16183
12548,2536,N903EV
12575,5683,N12563
12615,2528,N902EV
12616,4446,N11165
12617,5142,N758EV
12618,6028,N15910
12619,6129,N14920
12620,6087,N14117
12628,4237,N11551
12639,4549,N17560
12640,5965,N14902
12674,2501,N905EV
12675,4582,N28529
12676,4743,N14168
12677,5554,N753EV
12743,4482,N18102
12783,4146,N13553
12824,4195,N13997
12825,4275,N14570
12829,4348,N11127
12925,5081,N871AS
12926,4986,N712EV
12937,5195,N936EV
12942,5322,N723EV
12968,4353,N14125
12969,5403,N981EV
12970,5409,N760EV
12982,3943,N12569
12986,4919,N884AS
13030,4543,N11189
13055,2565,N830AS
13072,5218,N847AS
13122,5199,N922EV
13135,5052,N872AS
13166,4645,N14171
13167,6030,N12201
13168,6034,N16976
13175,5072,N538CA
13184,4980,N856AS
13212,4260,N13914
13214,4368,N13965
13216,4703,N13978
13217,4716,N12122
13218,4862,N26549
13233,4145,N26141
13234,4484,N13958
13261,5905,N14993
13273,3926,N14173
13274,4092,N18556
13276,4231,N15572
13277,4769,N27190
13312,2552,N906EV
13313,4752,N16571
13438,4370,N14198
13522,4763,N15980
13523,5696,N832AS
13545,2540,N880AS
13546,4541,N16112
13547,5185,N868AS
13554,5022,N197PQ
13561,6141,N12921
13570,4552,N13958
13574,4119,N15574
13575,5743,N827AS
13590,4700,N13995
13607,5742,N835AS
13629,5923,N18102
13735,4748,N14902
14064,5210,N871AS
14077,4256,N14188
14084,4288,N14173
14086,4685,N13978
14087,5583,N873AS
14109,4208,N12922
14110,4155,N36915
14111,4434,N13914
14119,4360,N11164
14129,4557,N14570
14130,5257,N881AS
14146,5204,N840AS
14147,6101,N13550
14152,4495,N27200
14175,4196,N14116
14176,4646,N14198
14177,4622,N14916
14178,4967,N134EV
14179,5362,N936EV
14219,4250,N13958
14221,4436,N17169
14222,4668,N12567
14223,5698,N833AS
14228,4339,N41104
14234,5230,N600QX
14251,2519,N880AS
14252,3941,N14993
14253,4126,N14573
14254,4279,N16546
14255,4585,N17115
14257,5678,N16541
14492,3266,N13975
14493,4098,N13965
14494,2533,N909EV
14495,4213,N16999
14496,4148,N17560
14497,4150,N29917
14499,4371,N13553
14500,4425,N13123
14501,4431,N48901
14502,4451,N13913
14503,4411,N13538
14504,4719,N14950
14505,4768,N15980
14506,4740,N16571
14507,4945,N740EV
14508,4870,N181PQ
14509,4881,N750EV
14510,5103,N849AS
14511,5134,N741EV
14512,5275,N878AS
14513,5286,N900EV
14514,5339,N921EV
14515,5491,N872AS
14518,5747,N835AS
14519,5519,N730EV
14520,5556,N228PQ
14521,5978,N15910
14522,5948,N13908
14523,5917,N11551
14524,5919,N15983
14525,6019,N16976
14526,6133,N12136
14527,6082,N14117
14528,6083,N13969
14530,6122,N11536
14531,6142,N16961
14532,6143,N14920
14533,6144,N15912
14534,6177,N26545
14630,6020,N11106
14638,4390,N13566
14639,5732,N836AS
14702,4494,N11547
14703,5033,N708EV
14704,4928,N914EV
14705,5467,N676CA
14707,5946,N13988
14708,6091,N13161
14733,4137,N14904
14786,6071,N11140
14805,4506,N15527
14875,2512,N905EV
14876,2572,N879AS
14877,4292,N12122
14878,4531,N16170
14881,5123,N924EV
14882,5253,N852AS
14883,5961,N14562
14910,4417,N14180
14964,4179,N17108
14965,4513,N17138
14966,4652,N13968
14967,4690,N17196
14984,4598,N21537
15034,5062,N922EV
15035,5219,N847AS
15048,4418,N14977
15052,5601,N753EV
15056,4916,N712EV
15135,2549,N906EV
15136,3929,N19554
15137,4306,N28529
15138,4428,N14171
15139,4384,N11548
15140,4589,N16149
15141,4697,N26141
15142,5130,N839AS
15143,5214,N855AS
15144,5329,N691CA
15145,5591,N850AS
15146,5782,N16183
15147,5378,N843AS
15148,6107,N15973
15149,6140,N12921
15150,6185,N14974
15176,4311,N14950
15177,4327,N34110
15227,5579,N538CA
15276,2506,N830AS
15277,2555,N877AS
15278,2561,N904EV
15279,2537,N903EV
15280,4123,N13903
15281,4960,N860AS
15282,5187,N916EV
15283,5223,N884AS
15284,5953,N16911
15300,4152,N14993
15375,5119,N607LR
15376,5231,N933EV
15377,5240,N723EV
15378,5200,N166PQ
15379,5315,N197PQ
15380,5505,N528CA
15459,5992,N17146
15521,6040,N13118
15698,3272,N10575
15699,4095,N26549
15700,4524,N12172
15701,4871,N853AS
15702,4911,N604QX
15703,4990,N925EV
15704,5039,N605QX
15705,5138,N608QX
15706,5250,N391CA
15707,5313,N980EV
15708,5297,N837AS
15709,5336,N856AS
15711,5270,N857AS
15712,5359,N923EV
15713,6175,N13997
15752,4221,N15572
15754,5804,N14923
15825,2539,N902EV
15826,5283,N755EV
15827,5262,N146PQ
15837,5330,N931EV
15838,6016,N12195
15840,4099,N11113
15843,4866,N11165
15882,4548,N12136
15883,4765,N13969
15884,5242,N713EV
15885,5920,N18557
15895,4510,N15574
15969,4134,N14542
15970,4376,N16559
15986,4456,N11539
16038,3255,N16525
16039,4128,N12922
16040,4168,N11164
16041,4189,N12528
16042,4479,N14972
16043,4413,N17524
16044,4546,N11536
16045,5035,N686BR
16046,5347,N710EV
16047,5466,N744EV
16048,5518,N398CA
16049,6189,N11181
16065,5987,N31131
16069,3270,N13903
16127,2502,N901EV
16128,2563,N876AS
16129,3926,N16112
16131,4950,N614QX
16148,4615,N16147
16149,4709,N12530
16150,5908,N12160
16226,3259,N15986
16227,4432,N14558
16228,4704,N18120
16229,4728,N13964
16230,4883,N861AS
16231,5046,N979EV
16232,5484,N754EV
16264,4096,N22971
16314,3268,N11187
16315,4671,N14570
16316,5395,N615QX
16324,5794,N14173
16330,4183,N14125
16334,4647,N16571
16335,5664,N14543
16392,4498,N15983
16393,4555,N16976
16452,4691,N16961
16453,4954,N761ND
16454,5116,N758EV
16470,5333,N859AS
16508,2514,N880AS
16509,4258,N12145
16510,4287,N11199
16511,6014,N14562
16527,3952,N12569
16528,5995,N14920
16569,4682,N14514
16570,6029,N11106
16585,4276,N13133
16586,5477,N751EV
16590,4389,N11535
16597,4977,N741EV
16738,4174,N17138
16739,5167,N868AS
16740,5394,N844AS
16741,5472,N851AS
16742,5944,N21129
16743,6024,N21144
16744,6056,N13992
16788,4507,N13965
16828,4241,N13161
16829,5692,N836AS
16850,4462,N13989
16863,4111,N16546
16919,3953,N10575
16920,4401,N17115
16921,4959,N606LR
16922,4874,N748EV
16923,5007,N761ND
16924,5077,N855AS
16925,5252,N723EV
16927,5293,N881AS
16928,5614,N872AS
16929,5537,N752EV
16930,5936,N18102
16931,5993,N13958
16947,4509,N14904
16948,6153,N13908
16958,4755,N16911
16961,4537,N24103
16962,4622,N15980
17026,3262,N13550
17027,4737,N11176
17028,4966,N927EV
17029,4900,N759EV
17030,5177,N933EV
17045,5040,N919EV
17051,5903,N13123
17101,4115,N14198
17102,4166,N12157
17104,6107,N26545
17129,4198,N12967
17133,6101,N15973
17179,2517,N909EV
17180,4767,N13566
17181,4987,N882AS
17276,4559,N21130
17277,4948,N760EV
17278,4981,N926EV
17279,5288,N611QX
17280,5589,N870AS
17303,4424,N14177
17304,6041,N11137
17313,4471,N12201
17314,5212,N135EV
17372,4211,N26549
17373,5409,N612QX
17392,4676,N17560
17393,5259,N166PQ
17402,5555,N867AS
17407,4137,N15910
17408,4117,N16525
17409,4122,N15985
17459,2556,N906EV
17460,4169,N14991
17461,4882,N708EV
17462,5074,N837AS
17463,5188,N707EV
17464,5323,N849AS
17465,6030,N14902
17551,4120,N14573
17552,4396,N14960
17553,4662,N18557
17557,5192,N750EV
17558,5538,N981EV
17559,6119,N14117
17570,4557,N14974
17631,5332,N228PQ
17632,5599,N730EV
17643,5407,N857AS
17654,4208,N11547
17655,4523,N29917
17656,5678,N48901
17708,3940,N11551
17709,4975,N924EV
17710,5102,N937EV
17726,4176,N17524
17730,4212,N18556
17815,2520,N904EV
17816,4107,N21537
17818,4155,N31131
17820,4491,N12567
17822,5290,N838AS
17825,5543,N846AS
17846,4094,N13964
17847,4179,N13968
17848,4593,N11539
17899,5143,N979EV
17900,5316,N722EV
17901,5499,N847AS
17912,3927,N12528
17913,4277,N11526
17914,4670,N13995
17915,5289,N850AS
17916,5541,N936EV
17919,4217,N29906
17920,4524,N41104
