,FLIGHT_NUMBER,schedule_id,status
4176,5067,302,
4177,5503,303,
4178,5802,304,
4180,3927,305,
4181,4647,306,
4256,4981,307,
4257,4872,308,
4258,5169,309,
4259,5545,310,
4277,3258,311,
4284,5608,312,
4285,6183,313,
4322,4518,314,
4344,4093,315,
4345,5488,316,
4348,4121,317,
4355,5219,318,
4356,5956,319,
4408,4731,320,
4413,4737,321,
4421,4576,322,
4477,4891,323,
4488,4403,324,
4489,4617,325,
4496,5010,326,
4551,2509,327,
4552,5183,328,
4553,5323,329,
4567,4142,330,
4568,6163,331,
4572,4208,332,
4573,6135,333,
4634,3953,334,
4635,4128,335,
4637,4470,336,
4638,4485,337,
4657,4496,338,
4663,4888,339,
4666,4472,340,
4667,5172,341,
4732,4917,342,
4733,5050,343,
4761,4896,344,
4765,4172,345,
4767,5211,346,
4814,2545,347,
4832,4448,348,
4833,5470,349,
4837,4349,350,
4891,4103,351,
4892,4738,352,
4893,5597,353,
4913,4297,354,
4914,3954,355,
4979,4947,356,
4980,5210,357,
4992,4725,358,
5055,5090,359,
5056,5918,360,
5074,5525,361,
5130,4589,362,
5131,5067,363,
5132,5919,364,
5134,6149,365,
5148,4670,366,
5158,3956,367,
5166,5107,368,
5225,4567,369,
5226,4996,370,
5227,5002,371,
5228,5270,372,
5243,5799,373,
5246,3946,374,
5247,4118,375,
5251,4712,376,
5316,3949,377,
5317,4937,378,
5318,6008,379,
5338,5063,380,
5339,5243,381,
5347,4630,382,
5348,5503,383,
5349,5399,384,
5390,2527,385,
5391,2569,386,
5392,4588,387,
5393,4999,388,
5396,5046,389,
5397,5344,390,
5407,4176,391,
5408,5343,392,
5414,4217,393,
5415,4942,394,
5421,5030,395,
5461,5055,396,
5462,5245,397,
5483,4933,398,
5486,4710,399,
5487,5425,400,
5491,4872,401,
5492,5019,402,
5494,4200,403,
5495,4982,404,
5540,3262,405,
5541,4309,406,
5542,5005,407,
5543,5238,408,
5544,5200,409,
5545,5771,410,
5555,4264,411,
5556,4441,412,
5557,4983,413,
5567,4510,414,
5568,5110,415,
5569,4336,416,
5573,5358,417,
5612,5313,418,
5613,5442,419,
5634,4133,420,
5641,5692,421,
5644,4864,422,
5683,2516,423,
5685,4965,424,
5687,5028,425,
5688,5426,426,
5704,4214,427,
5714,5165,428,
5715,5489,429,
5752,4271,430,
5753,4930,431,
5754,5594,432,
5756,6158,433,
5783,4569,434,
5784,5731,435,
5787,5163,436,
5826,5146,437,
5844,4325,438,
5894,4996,439,
5895,5500,440,
5914,5690,441,
5915,6130,442,
5969,2570,443,
5970,4097,444,
5971,4267,445,
5972,4671,446,
5973,4604,447,
5974,4607,448,
5975,4609,449,
5976,4619,450,
5977,4592,451,
5978,4728,452,
5979,5664,453,
5988,5802,454,
5994,4562,455,
6006,4111,456,
6007,4973,457,
6010,3266,458,
6011,5549,459,
6049,4481,460,
6050,4465,461,
6066,4127,462,
6067,4263,463,
6068,5663,464,
6073,4394,465,
6074,4611,466,
6075,4335,467,
6085,4677,468,
6086,4345,469,
6147,2546,470,
6148,4130,471,
6149,4201,472,
6150,4410,473,
6151,4884,474,
6152,4999,475,
6153,5236,476,
6154,5314,477,
6155,5440,478,
6175,4212,479,
6179,4936,480,
6184,4362,481,
6227,5179,482,
6255,4105,483,
6287,3936,484,
6288,4242,485,
6289,4464,486,
6291,4753,487,
6312,4888,488,
6317,5382,489,
6318,6125,490,
6321,4706,491,
6322,5994,492,
6332,4637,493,
6387,3260,494,
6388,3267,495,
6389,3256,496,
6390,4174,497,
6391,4421,498,
6392,4693,499,
6393,4982,500,
6394,5364,501,
6395,6038,502,
6417,3929,503,
6419,4313,504,
6427,3950,505,
6428,4190,506,
6429,4288,507,
6430,4447,508,
6431,5915,509,
6439,6110,510,
6486,2521,511,
6487,4175,512,
6488,4294,513,
6489,4402,514,
6490,5726,515,
6491,6167,516,
6503,5087,517,
6504,6011,518,
6561,4901,519,
6573,3925,520,
6574,4253,521,
6575,4973,522,
6583,5307,523,
6636,4476,524,
6637,5243,525,
6652,4387,526,
6653,4640,527,
6657,4687,528,
6672,3255,529,
6673,4512,530,
6710,2558,531,
6731,5344,532,
6732,5687,533,
6737,5308,534,
6738,5334,535,
6739,5356,536,
6783,2569,537,
6784,4355,538,
6785,5485,539,
6802,4224,540,
6803,4698,541,
6804,6112,542,
6811,4395,543,
6870,4449,544,
6871,4974,545,
6888,4930,546,
6894,3947,547,
6901,3934,548,
6953,4215,549,
6954,4502,550,
6955,5006,551,
6956,5459,552,
6982,4937,553,
6985,6033,554,
7035,4178,555,
7036,4290,556,
7037,4419,557,
7038,6179,558,
7045,5106,559,
7060,4757,560,
7066,4179,561,
7067,4509,562,
7068,5308,563,
7080,6165,564,
7141,4142,565,
7142,5019,566,
7143,4933,567,
7144,4985,568,
7162,5670,569,
7163,5997,570,
7167,3265,571,
7170,4399,572,
7171,5151,573,
7173,4089,574,
7214,2508,575,
7215,5247,576,
7221,5204,577,
7224,6169,578,
7229,5796,579,
7230,4277,580,
7232,4747,581,
7233,5535,582,
7279,2516,583,
7280,3939,584,
7294,4100,585,
7295,5736,586,
7299,4729,587,
7300,5006,588,
7349,2529,589,
7350,5613,590,
7363,5567,591,
7365,4663,592,
7367,4171,593,
7372,4530,594,
7373,4338,595,
7418,4737,596,
7434,4360,597,
7438,4170,598,
7439,6130,599,
7442,4622,600,
7449,5791,601,
7489,4250,602,
7490,6182,603,
7505,4184,604,
7509,4584,605,
7563,4176,606,
7564,4257,607,
7565,4507,608,
7588,4621,609,
7590,5166,610,
7596,4204,611,
7597,5956,612,
7599,4283,613,
7600,4526,614,
7601,4601,615,
7605,4226,616,
7607,4725,617,
7645,3262,618,
7646,5942,619,
7662,5931,620,
7663,6043,621,
7670,3258,622,
7711,2513,623,
7712,2570,624,
7715,5741,625,
7737,4943,626,
7739,4255,627,
7740,5721,628,
7802,3955,629,
7803,4093,630,
7804,4193,631,
7805,4289,632,
7806,5737,633,
7816,4630,634,
7820,6138,635,
7861,4755,636,
7862,5903,637,
7883,5991,638,
7884,6156,639,
7887,3937,640,
7888,4202,641,
7889,4299,642,
7890,4479,643,
7891,4404,644,
7898,5013,645,
7899,5056,646,
7900,5551,647,
7949,2545,648,
7950,4103,649,
7951,4143,650,
7952,4939,651,
7953,5274,652,
7954,5994,653,
7970,4090,654,
7971,4315,655,
7974,4303,656,
7975,5331,657,
7977,4320,658,
7981,4135,659,
7982,4620,660,
7983,5668,661,
7998,3957,662,
7999,5335,663,
8060,5024,664,
8061,5027,665,
8062,5334,666,
8063,5384,667,
8064,6132,668,
8090,4985,669,
8134,5225,670,
8154,4615,671,
8191,2558,672,
8192,4935,673,
8193,5296,674,
8209,6161,675,
8213,4588,676,
8218,4104,677,
8220,4489,678,
8227,4177,679,
8228,4731,680,
8276,4364,681,
8277,5307,682,
8290,3951,683,
8291,5955,684,
8294,5306,685,
8295,5261,686,
8344,2504,687,
8345,4217,688,
8346,5140,689,
8347,5339,690,
8361,3933,691,
8363,5397,692,
8373,5531,693,
8379,4334,694,
8424,5214,695,
8425,5411,696,
8426,5269,697,
8438,5146,698,
8441,4628,699,
8446,4589,700,
8447,4347,701,
8459,5798,702,
8517,5058,703,
8518,5151,704,
8534,4578,705,
8537,4670,706,
8591,4254,707,
8592,4186,708,
8593,4288,709,
8594,4593,710,
8595,6128,711,
8600,4340,712,
8612,3263,713,
8613,5251,714,
8617,4208,715,
8618,5604,716,
8620,5567,717,
8621,5355,718,
8626,4672,719,
8670,2570,720,
8671,4372,721,
8688,6003,722,
8755,2508,723,
8756,4493,724,
8757,4647,725,
8758,5327,726,
8776,3946,727,
8777,4353,728,
8826,4499,729,
8827,4659,730,
8828,4974,731,
8829,5287,732,
8830,5487,733,
8831,5603,734,
8832,5551,735,
8842,4931,736,
8844,3964,737,
8845,4736,738,
8846,5542,739,
8908,4165,740,
8909,4352,741,
8910,5342,742,
8911,5345,743,
8912,5356,744,
8929,4147,745,
8934,3959,746,
8935,4487,747,
8936,4684,748,
8937,5662,749,
9015,4291,750,
9016,4975,751,
9017,5033,752,
9018,5126,753,
9019,5138,754,
9020,5296,755,
9021,5447,756,
9045,4662,757,
9048,4138,758,
9049,5967,759,
9053,4270,760,
9058,5906,761,
9092,5538,762,
9093,5383,763,
9098,4349,764,
9109,4550,765,
9110,5602,766,
9114,3274,767,
9115,4688,768,
9121,5935,769,
9164,2513,770,
9165,5536,771,
9185,4890,772,
9187,4224,773,
9188,5181,774,
9191,4629,775,
9239,2530,776,
9240,3949,777,
9241,4091,778,
9242,4273,779,
9243,5152,780,
9244,5443,781,
9266,4297,782,
9267,4360,783,
9272,5167,784,
9273,4311,785,
9318,3255,786,
9319,4189,787,
9320,5928,788,
9339,5400,789,
9351,4645,790,
9390,4699,791,
9391,6110,792,
9405,5803,793,
9411,5274,794,
9415,3930,795,
9482,4375,796,
9483,4469,797,
9484,5508,798,
9492,4544,799,
9551,2546,800,
9552,3265,801,
9553,5604,802,
9560,5248,803,
9564,3963,804,
9565,4435,805,
9566,4573,806,
9604,2521,807,
9605,2529,808,
9606,4088,809,
9608,4953,810,
9609,5305,811,
9610,5988,812,
9617,4457,813,
9618,5056,814,
9619,4315,815,
9621,5797,816,
9623,4939,817,
9624,5149,818,
9631,4209,819,
9632,4624,820,
9633,6105,821,
9674,4242,822,
9675,5207,823,
9676,5290,824,
9685,5327,825,
9688,4602,826,
9689,4971,827,
9690,5335,828,
9696,3944,829,
9697,4180,830,
9748,3263,831,
9749,3947,832,
9750,4248,833,
9754,4706,834,
9760,4309,835,
9761,6028,836,
9801,3925,837,
9802,4226,838,
9803,4760,839,
9804,5336,840,
9805,5268,841,
9821,4420,842,
9826,4570,843,
9899,4758,844,
9900,5293,845,
9901,5495,846,
9921,4534,847,
9926,4182,848,
9927,5739,849,
9931,4283,850,
9932,6043,851,
9933,6136,852,
9934,4322,853,
9984,2504,854,
9985,2547,855,
9986,2511,856,
9987,4759,857,
9988,5542,858,
9989,5741,859,
10012,4220,860,
10020,3931,861,
10021,4228,862,
10023,5013,863,
10024,5689,864,
10028,4194,865,
10029,5957,866,
10070,4501,867,
10088,4377,868,
10090,6139,869,
10139,6182,870,
10152,5122,871,
10156,4362,872,
10157,6126,873,
10160,5202,874,
10161,5721,875,
10162,5672,876,
10163,6138,877,
10166,5602,878,
10205,3257,879,
10206,5621,880,
10207,5736,881,
10209,6079,882,
10235,4144,883,
10286,4191,884,
10287,5310,885,
10288,5536,886,
10322,3260,887,
10323,4566,888,
10370,3939,889,
10371,5394,890,
10372,6030,891,
10373,6011,892,
10383,4310,893,
10399,4240,894,
10408,3267,895,
10448,4391,896,
10449,4747,897,
10450,4971,898,
10457,5791,899,
10467,4136,900,
10468,4281,901,
10479,3921,902,
10480,4572,903,
10487,5433,904,
10488,6112,905,
10533,4163,906,
10548,4383,907,
10549,5668,908,
10555,4139,909,
10560,4138,910,
10561,4259,911,
10634,2531,912,
10636,4666,913,
10654,5397,914,
10661,4373,915,
10712,5502,916,
10782,2530,917,
10784,4268,918,
10786,5540,919,
10787,5916,920,
10809,5400,921,
10873,4453,922,
10874,6115,923,
10890,4205,924,
10891,4454,925,
10894,4742,926,
10895,5964,927,
10900,4253,928,
10957,2566,929,
10958,3269,930,
10959,4110,931,
10960,5934,932,
10978,4239,933,
10982,4181,934,
10989,4251,935,
10990,4596,936,
10991,4601,937,
11028,2534,938,
11048,4600,939,
11052,4580,940,
11053,5679,941,
11118,4382,942,
11122,4716,943,
11132,5905,944,
11161,4953,945,
11165,4311,946,
11179,3959,947,
11180,5305,948,
11181,5922,949,
11184,4368,950,
11222,2547,951,
11223,5207,952,
11224,6164,953,
11238,3938,954,
11242,4364,955,
11310,4881,956,
11331,4414,957,
11335,4540,958,
11384,4357,959,
11385,4605,960,
11394,4337,961,
11437,6114,962,
11440,4516,963,
11444,4361,964,
11502,4450,965,
11514,3271,966,
11515,4381,967,
11562,2550,968,
11563,6153,969,
11581,4653,970,
11585,4532,971,
11636,5202,972,
11637,5595,973,
11652,3926,974,
11664,4964,975,
11713,2511,976,
11714,3923,977,
11715,2531,978,
11716,4222,979,
11717,4262,980,
11718,4285,981,
11719,4367,982,
11720,4474,983,
11721,4385,984,
11722,4718,985,
11724,4713,986,
11725,5249,987,
11726,5424,988,
11727,5780,989,
11728,6137,990,
11745,6157,991,
11779,2571,992,
11780,4154,993,
11781,4527,994,
11782,6174,995,
11790,4210,996,
11791,5557,997,
11795,4124,998,
11796,4536,999,
11804,5756,1000,
11808,4245,1001,
11845,4092,1002,
11846,4234,1003,
11847,4188,1004,
11848,4308,1005,
11849,4993,1006,
11859,4359,1007,
11860,5737,1008,
11910,2518,1009,
11911,4238,1010,
11912,4278,1011,
11913,4683,1012,
11914,4869,1013,
11915,5244,1014,
11916,5587,1015,
11917,5939,1016,
11929,4595,1017,
11933,3948,1018,
11934,5805,1019,
11935,4350,1020,
11981,4545,1021,
11982,5095,1022,
12024,4408,1023,
12025,5585,1024,
12026,5769,1025,
12035,4326,1026,
12039,4758,1027,
12097,2524,1028,
12098,3964,1029,
12099,4430,1030,
12100,4894,1031,
12101,4748,1032,
12102,4878,1033,
12120,4422,1034,
12121,5686,1035,
12122,6063,1036,
12169,5043,1037,
12170,5744,1038,
12186,4212,1039,
12187,4352,1040,
12190,4554,1041,
12191,6026,1042,
12195,5807,1043,
12236,4184,1044,
12237,4473,1045,
12238,5298,1046,
12239,5906,1047,
12257,5036,1048,
12264,4193,1049,
12312,5299,1050,
12336,5937,1051,
12337,5912,1052,
12353,4541,1053,
12389,2534,1054,
12390,5093,1055,
12391,5444,1056,
12392,6018,1057,
12472,4560,1058,
12473,5351,1059,
12474,6085,1060,
12548,2536,1061,
12575,5683,1062,
12615,2528,1063,
12616,4446,1064,
12617,5142,1065,
12618,6028,1066,
12619,6129,1067,
12620,6087,1068,
12628,4237,1069,
12639,4549,1070,
12640,5965,1071,
12674,2501,1072,
12675,4582,1073,
12676,4743,1074,
12677,5554,1075,
12743,4482,1076,
12783,4146,1077,
12824,4195,1078,
12825,4275,1079,
12829,4348,1080,
12925,5081,1081,
12926,4986,1082,
12937,5195,1083,
12942,5322,1084,
12968,4353,1085,
12969,5403,1086,
12970,5409,1087,
12982,3943,1088,
12986,4919,1089,
13030,4543,1090,
13055,2565,1091,
13072,5218,1092,
13105,2571,1093,
13122,5199,1094,
13135,5052,1095,
13166,4645,1096,
13167,6030,1097,
13168,6034,1098,
13175,5072,1099,
13184,4980,1100,
13212,4260,1101,
13214,4368,1102,
13216,4703,1103,
13217,4716,1104,
13218,4862,1105,
13233,4145,1106,
13234,4484,1107,
13261,5905,1108,
13273,3926,1109,
13274,4092,1110,
13276,4231,1111,
13277,4769,1112,
13312,2552,1113,
13313,4752,1114,
13438,4370,1115,
13522,4763,1116,
13523,5696,1117,
13545,2540,1118,
13546,4541,1119,
13547,5185,1120,
13554,5022,1121,
13561,6141,1122,
13570,4552,1123,
13574,4119,1124,
13575,5743,1125,
13590,4700,1126,
13607,5742,1127,
13628,5756,1128,
13629,5923,1129,
13735,4748,1130,
14064,5210,1131,
14077,4256,1132,
14084,4288,1133,
14086,4685,1134,
14087,5583,1135,
14109,4208,1136,
14110,4155,1137,
14111,4434,1138,
14119,4360,1139,
14129,4557,1140,
14130,5257,1141,
14146,5204,1142,
14147,6101,1143,
14152,4495,1144,
14175,4196,1145,
14176,4646,1146,
14177,4622,1147,
14178,4967,1148,
14179,5362,1149,
14219,4250,1150,
14221,4436,1151,
14222,4668,1152,
14223,5698,1153,
14228,4339,1154,
14234,5230,1155,
14251,2519,1156,
14252,3941,1157,
14253,4126,1158,
14254,4279,1159,
14255,4585,1160,
14257,5678,1161,
14492,3266,1162,
14493,4098,1163,
14494,2533,1164,
14495,4213,1165,
14496,4148,1166,
14497,4150,1167,
14499,4371,1168,
14500,4425,1169,
14501,4431,1170,
14502,4451,1171,
14503,4411,1172,
14504,4719,1173,
14505,4768,1174,
14506,4740,1175,
14507,4945,1176,
14508,4870,1177,
14509,4881,1178,
14510,5103,1179,
14511,5134,1180,
14512,5275,1181,
14513,5286,1182,
14514,5339,1183,
14515,5491,1184,
14518,5747,1185,
14519,5519,1186,
14520,5556,1187,
14521,5978,1188,
14522,5948,1189,
14523,5917,1190,
14524,5919,1191,
14525,6019,1192,
14526,6133,1193,
14527,6082,1194,
14528,6083,1195,
14530,6122,1196,
14531,6142,1197,
14532,6143,1198,
14533,6144,1199,
14534,6177,1200,
14630,6020,1201,
14638,4390,1202,
14639,5732,1203,
14702,4494,1204,
14703,5033,1205,
14704,4928,1206,
14705,5467,1207,
14707,5946,1208,
14708,6091,1209,
14733,4137,1210,
14786,6071,1211,
14805,4506,1212,
14875,2512,1213,
14876,2572,1214,
14877,4292,1215,
14878,4531,1216,
14881,5123,1217,
14882,5253,1218,
14883,5961,1219,
14910,4417,1220,
14964,4179,1221,
14965,4513,1222,
14966,4652,1223,
14967,4690,1224,
14984,4598,1225,
15034,5062,1226,
15035,5219,1227,
15048,4418,1228,
15052,5601,1229,
15056,4916,1230,
15135,2549,1231,
15136,3929,1232,
15137,4306,1233,
15138,4428,1234,
15139,4384,1235,
15140,4589,1236,
15141,4697,1237,
15142,5130,1238,
15143,5214,1239,
15144,5329,1240,
15145,5591,1241,
15146,5782,1242,
15147,5378,1243,
15148,6107,1244,
15149,6140,1245,
15150,6185,1246,
15176,4311,1247,
15177,4327,1248,
15227,5579,1249,
15276,2506,1250,
15277,2555,1251,
15278,2561,1252,
15279,2537,1253,
15280,4123,1254,
15281,4960,1255,
15282,5187,1256,
15283,5223,1257,
15284,5953,1258,
15300,4152,1259,
15375,5119,1260,
15376,5231,1261,
15377,5240,1262,
15378,5200,1263,
15379,5315,1264,
15380,5505,1265,
15381,6042,1266,
15459,5992,1267,
15502,3924,1268,
15521,6040,1269,
15698,3272,1270,
15699,4095,1271,
15700,4524,1272,
15701,4871,1273,
15702,4911,1274,
15703,4990,1275,
15704,5039,1276,
15705,5138,1277,
15706,5250,1278,
15707,5313,1279,
15708,5297,1280,
15709,5336,1281,
15710,5755,1282,
15711,5270,1283,
15712,5359,1284,
15713,6175,1285,
15752,4221,1286,
15754,5804,1287,
15825,2539,1288,
15826,5283,1289,
15827,5262,1290,
15837,5330,1291,
15838,6016,1292,
15840,4099,1293,
15843,4866,1294,
15882,4548,1295,
15883,4765,1296,
15884,5242,1297,
15885,5920,1298,
15895,4510,1299,
15969,4134,1300,
15970,4376,1301,
15986,4456,1302,
16038,3255,1303,
16039,4128,1304,
16040,4168,1305,
16041,4189,1306,
16042,4479,1307,
16043,4413,1308,
16044,4546,1309,
16045,5035,1310,
16046,5347,1311,
16047,5466,1312,
16048,5518,1313,
16049,6189,1314,
16065,5987,1315,
16069,3270,1316,
16127,2502,1317,
16128,2563,1318,
16129,3926,1319,
16130,2572,1320,
16131,4950,1321,
16148,4615,1322,
16149,4709,1323,
16150,5908,1324,
16226,3259,1325,
16227,4432,1326,
16228,4704,1327,
16229,4728,1328,
16230,4883,1329,
16231,5046,1330,
16232,5484,1331,
16264,4096,1332,
16314,3268,1333,
16315,4671,1334,
16316,5395,1335,
16324,5794,1336,
16330,4183,1337,
16334,4647,1338,
16335,5664,1339,
16392,4498,1340,
16393,4555,1341,
16452,4691,1342,
16453,4954,1343,
16454,5116,1344,
16470,5333,1345,
16508,2514,1346,
16509,4258,1347,
16510,4287,1348,
16511,6014,1349,
16527,3952,1350,
16528,5995,1351,
16569,4682,1352,
16570,6029,1353,
16585,4276,1354,
16586,5477,1355,
16587,5700,1356,
16590,4389,1357,
16597,4977,1358,
16738,4174,1359,
16739,5167,1360,
16740,5394,1361,
16741,5472,1362,
16742,5944,1363,
16743,6024,1364,
16744,6056,1365,
16788,4507,1366,
16828,4241,1367,
16829,5692,1368,
16830,6144,1369,
16850,4462,1370,
16863,4111,1371,
16919,3953,1372,
16920,4401,1373,
16921,4959,1374,
16922,4874,1375,
16923,5007,1376,
16924,5077,1377,
16925,5252,1378,
16927,5293,1379,
16928,5614,1380,
16929,5537,1381,
16930,5936,1382,
16931,5993,1383,
16947,4509,1384,
16948,6153,1385,
16958,4755,1386,
16961,4537,1387,
16962,4622,1388,
17026,3262,1389,
17027,4737,1390,
17028,4966,1391,
17029,4900,1392,
17030,5177,1393,
17045,5040,1394,
17051,5903,1395,
17101,4115,1396,
17102,4166,1397,
17104,6107,1398,
17105,6183,1399,
17123,5698,1400,
17129,4198,1401,
17133,6101,1402,
17179,2517,1403,
17180,4767,1404,
17181,4987,1405,
17199,4297,1406,
17276,4559,1407,
17277,4948,1408,
17278,4981,1409,
17279,5288,1410,
17280,5589,1411,
17303,4424,1412,
17304,6041,1413,
17313,4471,1414,
17314,5212,1415,
17372,4211,1416,
17373,5409,1417,
17392,4676,1418,
17393,5259,1419,
17402,5555,1420,
17407,4137,1421,
17408,4117,1422,
17409,4122,1423,
17459,2556,1424,
17460,4169,1425,
17461,4882,1426,
17462,5074,1427,
17463,5188,1428,
17464,5323,1429,
17465,6030,1430,
17551,4120,1431,
17552,4396,1432,
17553,4662,1433,
17556,4966,1434,
17557,5192,1435,
17558,5538,1436,
17559,6119,1437,
17570,4557,1438,
17631,5332,1439,
17632,5599,1440,
17643,5407,1441,
17654,4208,1442,
17655,4523,1443,
17656,5678,1444,
17708,3940,1445,
17709,4975,1446,
17710,5102,1447,
17725,5293,1448,
17726,4176,1449,
17730,4212,1450,
17815,2520,1451,
17816,4107,1452,
17818,4155,1453,
17820,4491,1454,
17822,5290,1455,
17824,5614,1456,
17825,5543,1457,
17826,6150,1458,
17846,4094,1459,
17847,4179,1460,
17848,4593,1461,
17899,5143,1462,
17900,5316,1463,
17901,5499,1464,
17912,3927,1465,
17913,4277,1466,
17914,4670,1467,
17915,5289,1468,
17916,5541,1469,
17919,4217,1470,
17920,4524,1471,
17921,4392,1472,
17922,4505,1473,
17924,4236,1474,
17927,5234,1475,
17928,6031,1476,
17931,4305,1477,
17932,5063,1478,
17978,2563,1479,
17979,2514,1480,
17981,4366,1481,
17982,4463,1482,
17983,4591,1483,
17984,6095,1484,
17985,6109,1485,
17994,5788,1486,
17999,4293,1487,
18007,3264,1488,
18008,3937,1489,
18009,4109,1490,
18010,5660,1491,
18053,4866,1492,
18054,5338,1493,
18055,5589,1494,
18056,5978,1495,
18070,4345,1496,
18075,4478,1497,
18079,3955,1498,
18080,4306,1499,
18120,4921,1500,
18188,5377,1501,
18189,5969,1502,
