,tailnum,manufacturer,model,seats
277,N16713,BOEING,737-724,149
278,N16732,BOEING,737-724,149
279,N167US,AIRBUS INDUSTRIE,A321-211,199
280,N168AT,BOEING,737-76N,149
281,N16911,EMBRAER,EMB-145LR,55
282,N16918,EMBRAER,EMB-145LR,55
283,N16919,EMBRAER,EMB-145LR,55
284,N16951,EMBRAER,EMB-145LR,55
285,N16954,EMBRAER,EMB-145LR,55
286,N16961,EMBRAER,EMB-145LR,55
287,N16963,EMBRAER,EMB-145LR,55
288,N16976,EMBRAER,EMB-145LR,55
289,N16981,EMBRAER,EMB-145LR,55
290,N16987,EMBRAER,EMB-145LR,55
291,N16999,EMBRAER,EMB-145LR,55
292,N169AT,BOEING,737-76N,149
293,N169DZ,BOEING,767-332,330
294,N169UW,AIRBUS INDUSTRIE,A321-211,199
295,N170PQ,BOMBARDIER INC,CL-600-2D24,95
296,N170US,AIRBUS INDUSTRIE,A321-211,199
297,N17104,BOEING,757-224,178
298,N17105,BOEING,757-224,178
299,N17108,EMBRAER,EMB-145XR,55
300,N17115,EMBRAER,EMB-145XR,55
301,N17122,BOEING,757-224,178
302,N17126,BOEING,757-224,178
303,N17128,BOEING,757-224,178
304,N17133,BOEING,757-224,178
305,N17138,EMBRAER,EMB-145XR,55
306,N17139,BOEING,757-224,178
307,N17146,EMBRAER,EMB-145XR,55
308,N17159,EMBRAER,EMB-145XR,55
309,N17169,EMBRAER,EMB-145XR,55
310,N17185,EMBRAER,EMB-145XR,55
311,N17196,EMBRAER,EMB-145XR,55
312,N171DN,BOEING,767-332,330
313,N171DZ,BOEING,767-332,330
314,N171US,AIRBUS INDUSTRIE,A321-211,199
315,N17229,BOEING,737-824,149
316,N17233,BOEING,737-824,149
317,N17244,BOEING,737-824,149
318,N17245,BOEING,737-824,149
319,N172DN,BOEING,767-332,330
320,N172DZ,BOEING,767-332,330
321,N172US,AIRBUS INDUSTRIE,A321-211,199
322,N173AT,BOEING,737-76N,149
323,N173DZ,BOEING,767-332,330
324,N173US,AIRBUS INDUSTRIE,A321-211,199
325,N174AT,BOEING,737-76N,149
326,N174DN,BOEING,767-332,330
327,N174DZ,BOEING,767-332,330
328,N174US,AIRBUS INDUSTRIE,A321-211,199
329,N17560,EMBRAER,EMB-145LR,55
330,N175AT,BOEING,737-76N,149
331,N175DN,BOEING,767-332,330
332,N175DZ,BOEING,767-332,330
333,N176AT,BOEING,737-76N,149
334,N176DN,BOEING,767-332,330
335,N176DZ,BOEING,767-332,330
336,N176PQ,BOMBARDIER INC,CL-600-2D24,95
337,N176UW,AIRBUS INDUSTRIE,A321-211,199
338,N17719,BOEING,737-724,149
339,N17730,BOEING,737-724,149
340,N177DN,BOEING,767-332,330
341,N177DZ,BOEING,767-332,330
342,N177US,AIRBUS INDUSTRIE,A321-211,199
343,N178DN,BOEING,767-332,330
344,N178DZ,BOEING,767-332,330
345,N178JB,EMBRAER,ERJ 190-100 IGW,20
346,N178US,AIRBUS INDUSTRIE,A321-211,199
347,N17984,EMBRAER,EMB-145LR,55
348,N179DN,BOEING,767-332,330
349,N179JB,EMBRAER,ERJ 190-100 IGW,20
350,N179UW,AIRBUS INDUSTRIE,A321-211,199
351,N180DN,BOEING,767-332,330
352,N180US,AIRBUS INDUSTRIE,A321-211,199
353,N18101,EMBRAER,EMB-145XR,55
354,N18102,EMBRAER,EMB-145XR,55
355,N18112,BOEING,757-224,178
356,N18114,EMBRAER,EMB-145XR,55
357,N18119,BOEING,757-224,178
358,N18120,EMBRAER,EMB-145XR,55
359,N181DN,BOEING,767-332,330
360,N181PQ,BOMBARDIER INC,CL-600-2D24,95
361,N181UW,AIRBUS INDUSTRIE,A321-211,199
362,N18220,BOEING,737-824,149
363,N18223,BOEING,737-824,149
364,N18243,BOEING,737-824,149
365,N182DN,BOEING,767-332,330
366,N182UW,AIRBUS INDUSTRIE,A321-211,199
367,N183DN,BOEING,767-332,330
368,N183JB,EMBRAER,ERJ 190-100 IGW,20
369,N183UW,AIRBUS INDUSTRIE,A321-211,199
370,N184AT,BOEING,737-76N,149
371,N184DN,BOEING,767-332,330
372,N184JB,EMBRAER,ERJ 190-100 IGW,20
373,N184US,AIRBUS INDUSTRIE,A321-211,199
374,N18556,EMBRAER,EMB-145LR,55
375,N18557,EMBRAER,EMB-145LR,55
376,N185DN,BOEING,767-332,330
377,N185UW,AIRBUS INDUSTRIE,A321-211,199
378,N186DN,BOEING,767-332,330
379,N186PQ,BOMBARDIER INC,CL-600-2D24,95
380,N186US,AIRBUS,A321-211,199
381,N187DN,BOEING,767-332,330
382,N187JB,EMBRAER,ERJ 190-100 IGW,20
383,N187PQ,BOMBARDIER INC,CL-600-2D24,95
384,N187US,AIRBUS,A321-211,199
385,N188DN,BOEING,767-332,330
386,N188US,AIRBUS,A321-211,199
387,N189DN,BOEING,767-332,330
388,N189UW,AIRBUS INDUSTRIE,A321-211,199
389,N190DN,BOEING,767-332,330
390,N190JB,EMBRAER,ERJ 190-100 IGW,20
391,N190UW,AIRBUS INDUSTRIE,A321-211,199
392,N19117,BOEING,757-224,178
393,N19130,BOEING,757-224,178
394,N19136,BOEING,757-224,178
395,N19141,BOEING,757-224,178
396,N191DN,BOEING,767-332,330
397,N191UW,AIRBUS INDUSTRIE,A321-211,199
398,N192DN,BOEING,767-332,330
399,N192JB,EMBRAER,ERJ 190-100 IGW,20
400,N192UW,AIRBUS INDUSTRIE,A321-211,199
401,N193DN,BOEING,767-332,330
402,N193JB,EMBRAER,ERJ 190-100 IGW,20
403,N193UW,AIRBUS,A321-211,199
404,N194DN,BOEING,767-332,330
405,N194UW,AIRBUS,A321-211,199
406,N19554,EMBRAER,EMB-145LR,55
407,N195DN,BOEING,767-332,330
408,N195PQ,BOMBARDIER INC,CL-600-2D24,95
409,N195UW,AIRBUS,A321-211,199
410,N196DN,BOEING,767-332,330
411,N196UW,AIRBUS,A321-211,199
412,N197DN,BOEING,767-332,330
413,N197JB,EMBRAER,ERJ 190-100 IGW,20
414,N197PQ,BOMBARDIER INC,CL-600-2D24,95
415,N197UW,AIRBUS,A321-211,199
416,N198DN,BOEING,767-332,330
417,N198JB,EMBRAER,ERJ 190-100 IGW,20
418,N198UW,AIRBUS,A321-211,199
419,N19966,EMBRAER,EMB-145LR,55
420,N199DN,BOEING,767-332,330
421,N199UW,AIRBUS,A321-211,199
422,N200PQ,BOMBARDIER INC,CL-600-2D24,95
423,N200WN,BOEING,737-7H4,140
424,N201AA,CESSNA,150,2
425,N201FR,AIRBUS,A320-214,182
426,N201LV,BOEING,737-7H4,140
427,N202AA,CESSNA,421C,8
428,N202FR,AIRBUS,A320-214,182
429,N202WN,BOEING,737-7H4,140
430,N203FR,AIRBUS INDUSTRIE,A320-214,182
431,N203JB,EMBRAER,ERJ 190-100 IGW,20
432,N203WN,BOEING,737-7H4,140
433,N204FR,AIRBUS,A320-214,182
434,N204WN,BOEING,737-7H4,140
435,N205FR,AIRBUS,A320-214,182
436,N205WN,BOEING,737-7H4,140
437,N206FR,AIRBUS,A320-214,182
438,N206JB,EMBRAER,ERJ 190-100 IGW,20
439,N206UA,BOEING,777-222,400
440,N206WN,BOEING,737-7H4,140
441,N207FR,AIRBUS,A320-214,182
442,N207WN,BOEING,737-7H4,140
443,N208FR,AIRBUS,A320-214,182
444,N208WN,BOEING,737-7H4,140
445,N20904,BOEING,787-8,260
446,N209FR,AIRBUS,A320-214,182
447,N209WN,BOEING,737-7H4,140
448,N210FR,AIRBUS,A320-214,182
449,N210WN,BOEING,737-7H4,140
450,N21108,BOEING,757-224,178
451,N21129,EMBRAER,EMB-145XR,55
452,N21130,EMBRAER,EMB-145XR,55
453,N21144,EMBRAER,EMB-145XR,55
454,N21154,EMBRAER,EMB-145XR,55
455,N21197,EMBRAER,EMB-145XR,55
456,N211FR,AIRBUS,A320-214,182
457,N211WN,BOEING,737-7H4,140
458,N212WN,BOEING,737-7H4,140
459,N213FR,AIRBUS,A320-214,182
460,N213WN,BOEING,737-7H4,140
461,N214FR,AIRBUS,A320-214,182
462,N214WN,BOEING,737-7H4,140
463,N21537,EMBRAER,EMB-145LR,55
464,N215WN,BOEING,737-7H4,140
465,N216FR,AIRBUS,A320-214,182
466,N216JB,EMBRAER,ERJ 190-100 IGW,20
467,N216WR,BOEING,737-7H4,140
468,N21723,BOEING,737-724,149
469,N217JC,BOEING,737-7H4,140
470,N218FR,AIRBUS INDUSTRIE,A320-214,182
471,N218WN,BOEING,737-7H4,140
472,N219WN,BOEING,737-7H4,140
473,N220WN,BOEING,737-7H4,140
474,N221FR,AIRBUS,A320-214,182
475,N221WN,BOEING,737-7H4,140
476,N222WN,BOEING,737-7H4,140
477,N223WN,BOEING,737-7H4,140
478,N224WN,BOEING,737-7H4,140
479,N225WN,BOEING,737-7H4,140
480,N226WN,BOEING,737-7H4,140
481,N227WN,BOEING,737-7H4,140
482,N228JB,EMBRAER,ERJ 190-100 IGW,20
483,N228PQ,BOMBARDIER INC,CL-600-2D24,95
484,N228UA,BOEING,777-222,400
485,N228WN,BOEING,737-7H4,140
486,N22909,EMBRAER,EMB-145LR,55
487,N22971,EMBRAER,EMB-145LR,55
488,N229JB,EMBRAER,ERJ 190-100 IGW,20
489,N229WN,BOEING,737-7H4,140
490,N230WN,BOEING,737-7H4,140
491,N23139,EMBRAER,EMB-145XR,55
492,N231JB,EMBRAER,ERJ 190-100 IGW,20
493,N231WN,BOEING,737-7H4,140
494,N232PQ,BOMBARDIER INC,CL-600-2D24,95
495,N232WN,BOEING,737-7H4,140
496,N233LV,BOEING,737-7H4,140
497,N234WN,BOEING,737-7H4,140
498,N235WN,BOEING,737-7H4,140
499,N236JB,EMBRAER,ERJ 190-100 IGW,20
500,N236WN,BOEING,737-7H4,140
501,N23707,BOEING,737-724,149
502,N23708,BOEING,737-724,149
503,N23721,BOEING,737-724,149
504,N237WN,BOEING,737-7H4,140
505,N238JB,EMBRAER,ERJ 190-100 IGW,20
506,N238WN,BOEING,737-7H4,140
507,N239JB,EMBRAER,ERJ 190-100 IGW,20
508,N239WN,BOEING,737-7H4,140
509,N240AT,BOEING,737-76N,149
510,N240WN,BOEING,737-7H4,140
511,N24103,EMBRAER,EMB-145XR,55
512,N24128,EMBRAER,EMB-145XR,55
513,N241WN,BOEING,737-7H4,140
514,N24202,BOEING,737-824,149
515,N24211,BOEING,737-824,149
516,N24212,BOEING,737-824,149
517,N24224,BOEING,737-824,149
518,N242WN,BOEING,737-7H4,140
519,N243WN,BOEING,737-7H4,140
520,N244WN,BOEING,737-7H4,140
521,N245AY,BOEING,767-201,255
522,N245WN,BOEING,737-7H4,140
523,N246LV,BOEING,737-7H4,140
524,N24702,BOEING,737-724,149
525,N24706,BOEING,737-724,149
526,N24715,BOEING,737-724,149
527,N24729,BOEING,737-724,149
528,N247JB,EMBRAER,ERJ 190-100 IGW,20
529,N247WN,BOEING,737-7H4,140
530,N248WN,BOEING,737-7H4,140
531,N249JB,EMBRAER,ERJ 190-100 IGW,20
532,N249WN,BOEING,737-7H4,140
533,N250WN,BOEING,737-7H4,140
534,N25134,EMBRAER,EMB-145XR,55
535,N251WN,BOEING,737-7H4,140
536,N252WN,BOEING,737-7H4,140
537,N253WN,BOEING,737-7H4,140
538,N254WN,BOEING,737-7H4,140
539,N255WN,BOEING,737-7H4,140
540,N256WN,BOEING,737-7H4,140
541,N25705,BOEING,737-724,149
542,N257WN,BOEING,737-7H4,140
543,N258JB,EMBRAER,ERJ 190-100 IGW,20
544,N258WN,BOEING,737-7H4,140
545,N259WN,BOEING,737-7H4,140
546,N260WN,BOEING,737-7H4,140
547,N26123,BOEING,757-224,178
548,N26141,EMBRAER,EMB-145XR,55
549,N261AT,BOEING,737-76N,149
550,N261WN,BOEING,737-7H4,140
551,N26208,BOEING,737-824,149
552,N26210,BOEING,737-824,149
553,N26215,BOEING,737-824,149
554,N26226,BOEING,737-824,149
555,N262WN,BOEING,737-7H4,140
556,N263WN,BOEING,737-7H4,140
557,N264LV,BOEING,737-7H4,140
558,N26545,EMBRAER,EMB-145LR,55
559,N26549,EMBRAER,EMB-145LR,55
560,N265JB,EMBRAER,ERJ 190-100 IGW,20
561,N265WN,BOEING,737-7H4,140
562,N266JB,EMBRAER,ERJ 190-100 IGW,20
563,N266WN,BOEING,737-7H4,140
564,N267JB,EMBRAER,ERJ 190-100 IGW,20
565,N267WN,BOEING,737-7H4,140
566,N268WN,BOEING,737-7H4,140
567,N26906,BOEING,787-8,260
568,N269WN,BOEING,737-7H4,140
569,N270WN,BOEING,737-705,149
570,N27152,EMBRAER,EMB-145XR,55
571,N27190,EMBRAER,EMB-145XR,55
572,N271LV,BOEING,737-705,149
573,N27200,EMBRAER,EMB-145XR,55
574,N27205,BOEING,737-824,149
575,N27213,BOEING,737-824,149
576,N27239,BOEING,737-824,149
577,N272AT,BOEING,777-200,400
578,N272PQ,BOMBARDIER INC,CL-600-2D24,95
579,N272WN,BOEING,737-7H4,140
580,N273AT,BOEING,737-76N,149
581,N273JB,EMBRAER,ERJ 190-100 IGW,20
582,N273WN,BOEING,737-7H4,140
583,N27421,BOEING,737-924ER,191
584,N27477,BOEING,737-924ER,191
585,N274JB,EMBRAER,ERJ 190-100 IGW,20
586,N274WN,BOEING,737-7H4,140
587,N275WN,BOEING,737-7H4,140
588,N276AT,BOEING,737-76N,149
589,N276WN,BOEING,737-7H4,140
590,N27722,BOEING,737-724,149
591,N27724,BOEING,737-724,149
592,N27733,BOEING,737-724,149
593,N277WN,BOEING,737-7H4,140
594,N278AT,BOEING,737-76N,149
595,N278WN,BOEING,737-7H4,140
596,N27901,BOEING,787-8,260
597,N27962,EMBRAER,EMB-145,55
598,N279AT,BOEING,737-76N,149
599,N279JB,EMBRAER,ERJ 190-100 IGW,20
600,N279PQ,BOMBARDIER INC,CL-600-2D24,95
601,N279WN,BOEING,737-7H4,140
602,N280WN,BOEING,737-7H4,140
603,N281AT,AIRBUS INDUSTRIE,A340-313,375
604,N281JB,EMBRAER,ERJ 190-100 IGW,20
605,N281WN,BOEING,737-7H4,140
606,N282WN,BOEING,737-7H4,140
607,N283JB,EMBRAER,ERJ 190-100 IGW,20
608,N283WN,BOEING,737-7H4,140
609,N28457,BOEING,737-924ER,191
610,N28478,BOEING,737-924ER,191
611,N284AT,BOEING,737-76N,149
612,N284JB,EMBRAER,ERJ 190-100 IGW,20
613,N284WN,BOEING,737-7H4,140
614,N285AT,BOEING,737-76N,149
615,N285WN,BOEING,737-7H4,140
616,N286WN,BOEING,737-7H4,140
617,N287AT,BOEING,737-76N,149
618,N287WN,BOEING,737-7H4,140
619,N288WN,BOEING,737-7H4,140
620,N289AT,BOEING,737-76N,149
621,N289CT,BOEING,737-7H4,140
622,N290WN,BOEING,737-7H4,140
623,N29124,BOEING,757-224,178
624,N29129,BOEING,757-224,178
625,N291AT,BOEING,737-76N,149
626,N291WN,BOEING,737-7H4,140
627,N292JB,EMBRAER,ERJ 190-100 IGW,20
628,N292PQ,BOMBARDIER INC,CL-600-2D24,95
629,N292WN,BOEING,737-7H4,140
630,N293PQ,BOMBARDIER INC,CL-600-2D24,95
631,N293WN,BOEING,737-7H4,140
632,N294JB,EMBRAER,ERJ 190-100 IGW,20
633,N294PQ,BOMBARDIER INC,CL-600-2D24,95
634,N294WN,BOEING,737-7H4,140
635,N295AT,BOEING,737-76N,149
636,N295PQ,BOMBARDIER INC,CL-600-2D24,95
